timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:32:22.120, NVIDIA GeForce RTX 4090, P0, 58, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.96 W
2024/05/07 12:32:23.121, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.30 W
2024/05/07 12:32:24.121, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 57.24 W
2024/05/07 12:32:25.122, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 21126 MiB, 3090 MiB, 1 %, 39 %, 57.71 W
2024/05/07 12:32:26.122, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 19120 MiB, 5096 MiB, 0 %, 9 %, 57.96 W
2024/05/07 12:32:27.123, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 17150 MiB, 7066 MiB, 0 %, 8 %, 56.15 W
2024/05/07 12:32:28.124, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 14906 MiB, 9310 MiB, 0 %, 8 %, 56.76 W
2024/05/07 12:32:29.125, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 14266 MiB, 9950 MiB, 24 %, 100 %, 164.04 W
2024/05/07 12:32:30.126, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 14266 MiB, 9950 MiB, 25 %, 100 %, 251.66 W
2024/05/07 12:32:31.127, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 14266 MiB, 9950 MiB, 25 %, 100 %, 251.81 W
2024/05/07 12:32:32.127, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 14266 MiB, 9950 MiB, 25 %, 100 %, 251.93 W
2024/05/07 12:32:33.128, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 14266 MiB, 9950 MiB, 26 %, 100 %, 251.67 W
2024/05/07 12:32:34.129, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 14266 MiB, 9950 MiB, 26 %, 100 %, 251.74 W
