timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:30:03.813, NVIDIA GeForce RTX 4090, P0, 56, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 56.67 W
2024/05/07 12:30:04.813, NVIDIA GeForce RTX 4090, P0, 56, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.68 W
2024/05/07 12:30:05.814, NVIDIA GeForce RTX 4090, P0, 55, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.55 W
2024/05/07 12:30:06.814, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22311 MiB, 1906 MiB, 0 %, 0 %, 56.73 W
2024/05/07 12:30:07.815, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22311 MiB, 1906 MiB, 0 %, 0 %, 54.90 W
2024/05/07 12:30:08.816, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22311 MiB, 1906 MiB, 0 %, 0 %, 54.77 W
2024/05/07 12:30:09.816, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22311 MiB, 1906 MiB, 0 %, 0 %, 53.15 W
2024/05/07 12:30:10.817, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22311 MiB, 1906 MiB, 0 %, 0 %, 52.82 W
2024/05/07 12:30:11.817, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22311 MiB, 1906 MiB, 0 %, 0 %, 52.81 W
2024/05/07 12:30:12.818, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 20648 MiB, 3568 MiB, 1 %, 27 %, 53.73 W
2024/05/07 12:30:13.818, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 14540 MiB, 9676 MiB, 1 %, 35 %, 56.72 W
2024/05/07 12:30:14.819, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 10136 MiB, 14080 MiB, 8 %, 11 %, 58.51 W
2024/05/07 12:30:15.820, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10068 MiB, 14148 MiB, 80 %, 89 %, 185.07 W
