timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:41:55.938, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 60.27 W
2024/05/07 12:41:56.938, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 59.26 W
2024/05/07 12:41:57.939, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.87 W
2024/05/07 12:41:58.939, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22311 MiB, 1906 MiB, 2 %, 4 %, 60.07 W
2024/05/07 12:41:59.940, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 19431 MiB, 4785 MiB, 0 %, 9 %, 58.38 W
2024/05/07 12:42:00.941, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 16871 MiB, 7345 MiB, 14 %, 79 %, 77.99 W
2024/05/07 12:42:01.941, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 14529 MiB, 9687 MiB, 0 %, 8 %, 57.71 W
2024/05/07 12:42:02.942, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 13251 MiB, 10965 MiB, 0 %, 0 %, 57.35 W
2024/05/07 12:42:03.943, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 12677 MiB, 11539 MiB, 24 %, 100 %, 171.26 W
2024/05/07 12:42:04.944, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 12677 MiB, 11539 MiB, 24 %, 100 %, 251.76 W
2024/05/07 12:42:05.945, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 12677 MiB, 11539 MiB, 24 %, 100 %, 252.63 W
2024/05/07 12:42:06.946, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 12677 MiB, 11539 MiB, 24 %, 100 %, 253.02 W
2024/05/07 12:42:07.946, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 12677 MiB, 11539 MiB, 25 %, 100 %, 253.26 W
2024/05/07 12:42:08.947, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 12677 MiB, 11539 MiB, 25 %, 100 %, 252.83 W
2024/05/07 12:42:09.947, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 12677 MiB, 11539 MiB, 25 %, 100 %, 252.51 W
2024/05/07 12:42:10.948, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 6101 MiB, 18115 MiB, 51 %, 82 %, 224.41 W
2024/05/07 12:42:11.949, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 24 %, 100 %, 221.10 W
2024/05/07 12:42:12.949, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 24 %, 100 %, 252.95 W
2024/05/07 12:42:13.950, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 24 %, 100 %, 253.48 W
2024/05/07 12:42:14.950, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 25 %, 100 %, 253.97 W
2024/05/07 12:42:15.951, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 25 %, 100 %, 253.30 W
2024/05/07 12:42:16.951, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 26 %, 100 %, 253.02 W
2024/05/07 12:42:17.952, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6101 MiB, 18115 MiB, 26 %, 100 %, 252.93 W
2024/05/07 12:42:18.952, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6099 MiB, 18117 MiB, 0 %, 0 %, 191.82 W
2024/05/07 12:42:19.953, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6099 MiB, 18117 MiB, 46 %, 100 %, 292.08 W
2024/05/07 12:42:20.954, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6099 MiB, 18117 MiB, 47 %, 100 %, 294.77 W
2024/05/07 12:42:21.954, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6099 MiB, 18117 MiB, 46 %, 100 %, 293.44 W
2024/05/07 12:42:22.955, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6099 MiB, 18117 MiB, 45 %, 100 %, 296.11 W
2024/05/07 12:42:23.961, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6099 MiB, 18117 MiB, 46 %, 100 %, 294.29 W
2024/05/07 12:42:24.962, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 44 %, 100 %, 295.82 W
2024/05/07 12:42:25.962, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 46 %, 100 %, 295.42 W
2024/05/07 12:42:26.963, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 45 %, 100 %, 296.05 W
2024/05/07 12:42:27.963, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6099 MiB, 18117 MiB, 47 %, 100 %, 269.55 W
2024/05/07 12:42:28.964, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6099 MiB, 18117 MiB, 46 %, 100 %, 294.86 W
2024/05/07 12:42:29.964, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 47 %, 100 %, 296.05 W
2024/05/07 12:42:30.965, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6099 MiB, 18117 MiB, 47 %, 100 %, 294.81 W
2024/05/07 12:42:31.965, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 46 %, 100 %, 296.51 W
2024/05/07 12:42:32.966, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6099 MiB, 18117 MiB, 47 %, 100 %, 294.40 W
2024/05/07 12:42:33.967, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 45 %, 100 %, 296.90 W
2024/05/07 12:42:34.967, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6099 MiB, 18117 MiB, 47 %, 100 %, 294.70 W
2024/05/07 12:42:35.968, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6097 MiB, 18119 MiB, 42 %, 100 %, 295.72 W
2024/05/07 12:42:36.968, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 48 %, 100 %, 268.42 W
2024/05/07 12:42:37.969, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.23 W
2024/05/07 12:42:38.969, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 100 %, 294.80 W
2024/05/07 12:42:39.970, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.50 W
2024/05/07 12:42:40.971, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 48 %, 100 %, 296.68 W
2024/05/07 12:42:41.972, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 45 %, 100 %, 296.60 W
2024/05/07 12:42:42.973, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 100 %, 296.15 W
2024/05/07 12:42:43.974, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.30 W
2024/05/07 12:42:44.975, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6097 MiB, 18119 MiB, 65 %, 100 %, 287.36 W
2024/05/07 12:42:45.975, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6097 MiB, 18119 MiB, 45 %, 100 %, 275.09 W
2024/05/07 12:42:46.976, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.55 W
2024/05/07 12:42:47.977, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 294.90 W
2024/05/07 12:42:48.977, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.50 W
2024/05/07 12:42:49.978, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 294.22 W
2024/05/07 12:42:50.978, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.28 W
2024/05/07 12:42:51.979, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 293.70 W
2024/05/07 12:42:52.979, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 45 %, 100 %, 295.88 W
2024/05/07 12:42:53.980, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 97 %, 268.10 W
2024/05/07 12:42:54.981, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 290.06 W
2024/05/07 12:42:55.981, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 100 %, 294.81 W
2024/05/07 12:42:56.982, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.06 W
2024/05/07 12:42:57.983, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 100 %, 296.14 W
2024/05/07 12:42:58.983, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 296.36 W
2024/05/07 12:42:59.984, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 100 %, 295.88 W
2024/05/07 12:43:00.985, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 46 %, 100 %, 295.55 W
2024/05/07 12:43:01.986, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 6097 MiB, 18119 MiB, 47 %, 100 %, 295.83 W
