timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:39:33.691, NVIDIA GeForce RTX 4090, P0, 55, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 56.67 W
2024/05/07 12:39:34.692, NVIDIA GeForce RTX 4090, P0, 54, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.76 W
2024/05/07 12:39:35.692, NVIDIA GeForce RTX 4090, P0, 54, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.11 W
2024/05/07 12:39:36.693, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22311 MiB, 1906 MiB, 1 %, 20 %, 55.77 W
2024/05/07 12:39:37.693, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 20682 MiB, 3534 MiB, 12 %, 65 %, 66.76 W
2024/05/07 12:39:38.694, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 68.62 W
2024/05/07 12:39:39.694, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 65.13 W
2024/05/07 12:39:40.695, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 53.49 W
2024/05/07 12:39:41.696, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 52.67 W
2024/05/07 12:39:42.696, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 52.69 W
2024/05/07 12:39:43.697, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 52.42 W
2024/05/07 12:39:44.698, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 51.97 W
2024/05/07 12:39:45.698, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 20680 MiB, 3536 MiB, 0 %, 0 %, 51.79 W
2024/05/07 12:39:46.699, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 16405 MiB, 7811 MiB, 1 %, 28 %, 53.85 W
2024/05/07 12:39:47.699, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 9669 MiB, 14547 MiB, 1 %, 37 %, 56.09 W
2024/05/07 12:39:48.700, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8479 MiB, 15737 MiB, 78 %, 86 %, 81.38 W
2024/05/07 12:39:49.701, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8399 MiB, 15817 MiB, 81 %, 90 %, 195.43 W
2024/05/07 12:39:50.701, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8399 MiB, 15817 MiB, 81 %, 90 %, 197.10 W
2024/05/07 12:39:51.702, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8399 MiB, 15817 MiB, 19 %, 26 %, 179.43 W
2024/05/07 12:39:52.702, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 243.41 W
2024/05/07 12:39:53.703, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 8399 MiB, 15817 MiB, 91 %, 100 %, 243.56 W
2024/05/07 12:39:54.704, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 244.20 W
2024/05/07 12:39:55.705, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 8399 MiB, 15817 MiB, 92 %, 100 %, 244.77 W
2024/05/07 12:39:56.706, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 244.60 W
2024/05/07 12:39:57.707, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 244.69 W
2024/05/07 12:39:58.708, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 245.17 W
2024/05/07 12:39:59.708, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 245.59 W
2024/05/07 12:40:00.709, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 244.77 W
2024/05/07 12:40:01.709, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 245.09 W
2024/05/07 12:40:02.710, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 245.43 W
2024/05/07 12:40:03.711, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 245.18 W
2024/05/07 12:40:04.711, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 92 %, 100 %, 245.51 W
2024/05/07 12:40:05.712, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 245.87 W
2024/05/07 12:40:06.712, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 93 %, 100 %, 245.76 W
2024/05/07 12:40:07.713, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 245.34 W
2024/05/07 12:40:08.714, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 245.63 W
2024/05/07 12:40:09.714, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 246.16 W
2024/05/07 12:40:10.715, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 246.67 W
2024/05/07 12:40:11.715, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 246.69 W
2024/05/07 12:40:12.716, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 246.62 W
2024/05/07 12:40:13.717, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 246.85 W
2024/05/07 12:40:14.718, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 247.11 W
2024/05/07 12:40:15.719, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 8399 MiB, 15817 MiB, 94 %, 100 %, 247.01 W
2024/05/07 12:40:16.720, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 247.28 W
2024/05/07 12:40:17.721, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 8399 MiB, 15817 MiB, 91 %, 100 %, 247.40 W
2024/05/07 12:40:18.721, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 247.26 W
2024/05/07 12:40:19.722, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 247.26 W
2024/05/07 12:40:20.722, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 247.47 W
2024/05/07 12:40:21.723, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 247.51 W
2024/05/07 12:40:22.724, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 8399 MiB, 15817 MiB, 95 %, 100 %, 247.62 W
2024/05/07 12:40:23.724, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 8399 MiB, 15817 MiB, 90 %, 100 %, 247.43 W
