timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:27:56.859, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.87 W
2024/05/07 12:27:57.860, NVIDIA GeForce RTX 4090, P0, 56, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 56.89 W
2024/05/07 12:27:58.860, NVIDIA GeForce RTX 4090, P0, 56, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 56.57 W
2024/05/07 12:27:59.861, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 20988 MiB, 3228 MiB, 1 %, 82 %, 57.72 W
2024/05/07 12:28:00.861, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 20680 MiB, 3536 MiB, 44 %, 90 %, 99.53 W
2024/05/07 12:28:01.862, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.27 W
2024/05/07 12:28:02.863, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.59 W
2024/05/07 12:28:03.863, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.66 W
2024/05/07 12:28:04.864, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 48 %, 98 %, 195.53 W
2024/05/07 12:28:05.865, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.90 W
2024/05/07 12:28:06.866, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.87 W
2024/05/07 12:28:07.867, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 20680 MiB, 3536 MiB, 48 %, 98 %, 193.57 W
2024/05/07 12:28:08.868, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.76 W
2024/05/07 12:28:09.869, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.93 W
2024/05/07 12:28:10.870, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 193.67 W
2024/05/07 12:28:11.870, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.79 W
2024/05/07 12:28:12.871, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.64 W
2024/05/07 12:28:13.871, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 20680 MiB, 3536 MiB, 49 %, 98 %, 195.81 W
2024/05/07 12:28:14.872, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 20680 MiB, 3536 MiB, 48 %, 98 %, 195.51 W
