timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:23:34.776, NVIDIA GeForce RTX 4090, P0, 48, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.75 W
2024/05/07 12:23:35.777, NVIDIA GeForce RTX 4090, P0, 48, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 48.87 W
2024/05/07 12:23:36.777, NVIDIA GeForce RTX 4090, P0, 48, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 48.94 W
2024/05/07 12:23:37.778, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 74.43 W
2024/05/07 12:23:38.778, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.81 W
2024/05/07 12:23:39.779, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.91 W
2024/05/07 12:23:40.779, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.82 W
2024/05/07 12:23:41.780, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.32 W
2024/05/07 12:23:42.781, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.14 W
2024/05/07 12:23:43.781, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.03 W
2024/05/07 12:23:44.782, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.20 W
2024/05/07 12:23:45.782, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.29 W
2024/05/07 12:23:46.783, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.14 W
2024/05/07 12:23:47.783, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.10 W
2024/05/07 12:23:48.784, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.08 W
2024/05/07 12:23:49.785, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.72 W
2024/05/07 12:23:50.785, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.91 W
2024/05/07 12:23:51.786, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.76 W
2024/05/07 12:23:52.787, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.14 W
2024/05/07 12:23:53.788, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.07 W
2024/05/07 12:23:54.789, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.90 W
2024/05/07 12:23:55.789, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.86 W
2024/05/07 12:23:56.790, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.06 W
2024/05/07 12:23:57.790, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.22 W
2024/05/07 12:23:58.791, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.00 W
2024/05/07 12:23:59.791, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.89 W
2024/05/07 12:24:00.792, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.78 W
2024/05/07 12:24:01.792, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.94 W
2024/05/07 12:24:02.793, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.96 W
2024/05/07 12:24:03.794, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.34 W
2024/05/07 12:24:04.794, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.01 W
2024/05/07 12:24:05.795, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.74 W
2024/05/07 12:24:06.795, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.70 W
2024/05/07 12:24:07.796, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.85 W
2024/05/07 12:24:08.796, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.18 W
2024/05/07 12:24:09.797, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 144.15 W
2024/05/07 12:24:10.797, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.55 W
2024/05/07 12:24:11.798, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22311 MiB, 1906 MiB, 36 %, 66 %, 143.84 W
