timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:19:03.099, NVIDIA GeForce RTX 4090, P0, 35, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 46.17 W
2024/05/07 12:19:04.100, NVIDIA GeForce RTX 4090, P0, 35, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 46.14 W
2024/05/07 12:19:05.101, NVIDIA GeForce RTX 4090, P0, 35, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 46.09 W
2024/05/07 12:19:06.101, NVIDIA GeForce RTX 4090, P2, 35, 24564 MiB, 23057 MiB, 1160 MiB, 0 %, 12 %, 46.30 W
2024/05/07 12:19:07.102, NVIDIA GeForce RTX 4090, P2, 35, 24564 MiB, 21561 MiB, 2656 MiB, 0 %, 5 %, 46.55 W
2024/05/07 12:19:08.102, NVIDIA GeForce RTX 4090, P2, 35, 24564 MiB, 19641 MiB, 4576 MiB, 0 %, 14 %, 46.56 W
2024/05/07 12:19:09.103, NVIDIA GeForce RTX 4090, P2, 35, 24564 MiB, 16607 MiB, 7610 MiB, 0 %, 15 %, 46.86 W
2024/05/07 12:19:10.104, NVIDIA GeForce RTX 4090, P2, 44, 24564 MiB, 16031 MiB, 8186 MiB, 25 %, 100 %, 184.17 W
2024/05/07 12:19:11.104, NVIDIA GeForce RTX 4090, P2, 45, 24564 MiB, 16031 MiB, 8186 MiB, 24 %, 100 %, 236.89 W
2024/05/07 12:19:12.105, NVIDIA GeForce RTX 4090, P2, 45, 24564 MiB, 16031 MiB, 8186 MiB, 24 %, 100 %, 237.09 W
2024/05/07 12:19:13.105, NVIDIA GeForce RTX 4090, P2, 46, 24564 MiB, 16031 MiB, 8186 MiB, 24 %, 100 %, 237.62 W
2024/05/07 12:19:14.106, NVIDIA GeForce RTX 4090, P2, 46, 24564 MiB, 16031 MiB, 8186 MiB, 24 %, 100 %, 237.75 W
2024/05/07 12:19:15.106, NVIDIA GeForce RTX 4090, P2, 47, 24564 MiB, 16031 MiB, 8186 MiB, 25 %, 100 %, 237.97 W
2024/05/07 12:19:16.107, NVIDIA GeForce RTX 4090, P2, 48, 24564 MiB, 16031 MiB, 8186 MiB, 25 %, 100 %, 237.85 W
2024/05/07 12:19:17.107, NVIDIA GeForce RTX 4090, P2, 47, 24564 MiB, 9455 MiB, 14762 MiB, 13 %, 36 %, 208.57 W
2024/05/07 12:19:18.108, NVIDIA GeForce RTX 4090, P2, 48, 24564 MiB, 9455 MiB, 14762 MiB, 26 %, 100 %, 237.05 W
