timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:25:40.371, NVIDIA GeForce RTX 4090, P0, 50, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 50.49 W
2024/05/07 12:25:41.372, NVIDIA GeForce RTX 4090, P0, 50, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.59 W
2024/05/07 12:25:42.372, NVIDIA GeForce RTX 4090, P0, 50, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.47 W
2024/05/07 12:25:43.373, NVIDIA GeForce RTX 4090, P0, 49, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.66 W
2024/05/07 12:25:44.374, NVIDIA GeForce RTX 4090, P0, 49, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.46 W
2024/05/07 12:25:45.374, NVIDIA GeForce RTX 4090, P0, 49, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.36 W
2024/05/07 12:25:46.375, NVIDIA GeForce RTX 4090, P0, 49, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 49.01 W
2024/05/07 12:25:47.375, NVIDIA GeForce RTX 4090, P0, 49, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 48.70 W
2024/05/07 12:25:48.376, NVIDIA GeForce RTX 4090, P0, 49, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 48.66 W
2024/05/07 12:25:49.376, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 18775 MiB, 5442 MiB, 1 %, 35 %, 50.63 W
2024/05/07 12:25:50.377, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 11985 MiB, 12232 MiB, 1 %, 45 %, 52.05 W
2024/05/07 12:25:51.378, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 11871 MiB, 12346 MiB, 83 %, 92 %, 132.51 W
2024/05/07 12:25:52.378, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 11813 MiB, 12404 MiB, 82 %, 92 %, 196.51 W
2024/05/07 12:25:53.379, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.17 W
2024/05/07 12:25:54.379, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 11813 MiB, 12404 MiB, 84 %, 93 %, 189.21 W
2024/05/07 12:25:55.380, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 92 %, 198.25 W
2024/05/07 12:25:56.380, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.29 W
2024/05/07 12:25:57.381, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 84 %, 93 %, 198.54 W
2024/05/07 12:25:58.381, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 84 %, 93 %, 198.44 W
2024/05/07 12:25:59.382, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.66 W
2024/05/07 12:26:00.383, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.71 W
2024/05/07 12:26:01.383, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 11813 MiB, 12404 MiB, 84 %, 93 %, 198.66 W
2024/05/07 12:26:02.384, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.37 W
2024/05/07 12:26:03.385, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.65 W
2024/05/07 12:26:04.386, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 84 %, 93 %, 198.75 W
2024/05/07 12:26:05.387, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 82 %, 93 %, 198.99 W
2024/05/07 12:26:06.387, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 199.74 W
2024/05/07 12:26:07.388, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 199.58 W
2024/05/07 12:26:08.388, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 92 %, 199.11 W
2024/05/07 12:26:09.389, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 11813 MiB, 12404 MiB, 83 %, 93 %, 198.81 W
