timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:37:06.901, NVIDIA GeForce RTX 4090, P0, 58, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.64 W
2024/05/07 12:37:07.902, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.41 W
2024/05/07 12:37:08.902, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 58.09 W
2024/05/07 12:37:09.903, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 21598 MiB, 2618 MiB, 0 %, 20 %, 57.89 W
2024/05/07 12:37:10.903, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 17012 MiB, 7204 MiB, 0 %, 13 %, 78.29 W
2024/05/07 12:37:11.904, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 14948 MiB, 9268 MiB, 1 %, 7 %, 57.95 W
2024/05/07 12:37:12.904, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 14404 MiB, 9812 MiB, 24 %, 100 %, 204.16 W
2024/05/07 12:37:13.905, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14404 MiB, 9812 MiB, 24 %, 100 %, 252.32 W
2024/05/07 12:37:14.906, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14404 MiB, 9812 MiB, 24 %, 100 %, 252.88 W
2024/05/07 12:37:15.906, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14404 MiB, 9812 MiB, 24 %, 100 %, 253.18 W
2024/05/07 12:37:16.907, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14404 MiB, 9812 MiB, 25 %, 100 %, 253.92 W
2024/05/07 12:37:17.907, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14404 MiB, 9812 MiB, 25 %, 100 %, 253.95 W
2024/05/07 12:37:18.908, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14404 MiB, 9812 MiB, 26 %, 100 %, 254.06 W
2024/05/07 12:37:19.908, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 7828 MiB, 16388 MiB, 25 %, 98 %, 226.23 W
2024/05/07 12:37:20.909, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7828 MiB, 16388 MiB, 26 %, 100 %, 253.19 W
2024/05/07 12:37:21.910, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7828 MiB, 16388 MiB, 26 %, 100 %, 253.48 W
2024/05/07 12:37:22.911, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7828 MiB, 16388 MiB, 26 %, 100 %, 253.65 W
2024/05/07 12:37:23.911, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7828 MiB, 16388 MiB, 25 %, 100 %, 253.64 W
2024/05/07 12:37:24.912, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7828 MiB, 16388 MiB, 25 %, 100 %, 253.05 W
2024/05/07 12:37:25.913, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7828 MiB, 16388 MiB, 24 %, 100 %, 253.03 W
2024/05/07 12:37:26.914, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 24 %, 100 %, 252.95 W
2024/05/07 12:37:27.915, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 198.92 W
2024/05/07 12:37:28.915, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 265.91 W
2024/05/07 12:37:29.916, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 265.87 W
2024/05/07 12:37:30.916, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 266.41 W
2024/05/07 12:37:31.917, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 31 %, 100 %, 266.39 W
2024/05/07 12:37:32.917, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 266.40 W
2024/05/07 12:37:33.918, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 268.65 W
2024/05/07 12:37:34.919, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7826 MiB, 16390 MiB, 31 %, 100 %, 267.54 W
2024/05/07 12:37:35.919, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 27 %, 94 %, 247.14 W
2024/05/07 12:37:36.920, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 262.30 W
2024/05/07 12:37:37.920, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.12 W
2024/05/07 12:37:38.921, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.51 W
2024/05/07 12:37:39.921, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 269.42 W
2024/05/07 12:37:40.922, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.50 W
2024/05/07 12:37:41.923, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.43 W
2024/05/07 12:37:42.923, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.24 W
2024/05/07 12:37:43.924, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 7826 MiB, 16390 MiB, 40 %, 100 %, 265.80 W
2024/05/07 12:37:44.925, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 247.09 W
2024/05/07 12:37:45.926, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 268.09 W
2024/05/07 12:37:46.927, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 31 %, 100 %, 269.25 W
2024/05/07 12:37:47.928, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.02 W
2024/05/07 12:37:48.928, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.27 W
2024/05/07 12:37:49.929, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.23 W
2024/05/07 12:37:50.930, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 7826 MiB, 16390 MiB, 32 %, 100 %, 267.17 W
