timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:34:47.858, NVIDIA GeForce RTX 4090, P0, 55, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 57.05 W
2024/05/07 12:34:48.859, NVIDIA GeForce RTX 4090, P0, 55, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.80 W
2024/05/07 12:34:49.859, NVIDIA GeForce RTX 4090, P0, 54, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.27 W
2024/05/07 12:34:50.860, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22467 MiB, 1750 MiB, 2 %, 25 %, 59.24 W
2024/05/07 12:34:51.861, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22463 MiB, 1754 MiB, 0 %, 0 %, 69.19 W
2024/05/07 12:34:52.862, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22463 MiB, 1754 MiB, 0 %, 0 %, 58.39 W
2024/05/07 12:34:53.863, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22463 MiB, 1754 MiB, 0 %, 0 %, 53.04 W
2024/05/07 12:34:54.863, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22463 MiB, 1754 MiB, 0 %, 0 %, 53.23 W
2024/05/07 12:34:55.864, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22463 MiB, 1754 MiB, 0 %, 0 %, 52.87 W
2024/05/07 12:34:56.865, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22463 MiB, 1754 MiB, 0 %, 0 %, 52.63 W
2024/05/07 12:34:57.865, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 20640 MiB, 3576 MiB, 0 %, 6 %, 52.60 W
2024/05/07 12:34:58.866, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 13520 MiB, 10696 MiB, 1 %, 40 %, 56.33 W
2024/05/07 12:34:59.867, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 10274 MiB, 13942 MiB, 8 %, 11 %, 61.22 W
2024/05/07 12:35:00.867, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 10218 MiB, 13998 MiB, 81 %, 90 %, 191.06 W
2024/05/07 12:35:01.868, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 93 %, 201.90 W
2024/05/07 12:35:02.868, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 10182 MiB, 14034 MiB, 47 %, 52 %, 193.42 W
2024/05/07 12:35:03.869, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 217.57 W
2024/05/07 12:35:04.869, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 217.90 W
2024/05/07 12:35:05.870, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 218.15 W
2024/05/07 12:35:06.870, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 218.09 W
2024/05/07 12:35:07.871, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 218.23 W
2024/05/07 12:35:08.872, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 218.26 W
2024/05/07 12:35:09.873, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 85 %, 100 %, 218.30 W
2024/05/07 12:35:10.874, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 218.77 W
2024/05/07 12:35:11.875, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 218.89 W
2024/05/07 12:35:12.876, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 219.54 W
2024/05/07 12:35:13.877, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 100 %, 219.56 W
2024/05/07 12:35:14.877, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 219.03 W
2024/05/07 12:35:15.878, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 219.93 W
2024/05/07 12:35:16.878, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 100 %, 219.46 W
2024/05/07 12:35:17.879, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 217.57 W
2024/05/07 12:35:18.880, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 219.39 W
2024/05/07 12:35:19.880, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 100 %, 219.45 W
2024/05/07 12:35:20.881, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 217.52 W
2024/05/07 12:35:21.881, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 219.54 W
2024/05/07 12:35:22.882, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 86 %, 99 %, 219.61 W
2024/05/07 12:35:23.883, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 219.13 W
2024/05/07 12:35:24.883, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.17 W
2024/05/07 12:35:25.884, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 220.37 W
2024/05/07 12:35:26.885, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 220.51 W
2024/05/07 12:35:27.885, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.38 W
2024/05/07 12:35:28.886, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.48 W
2024/05/07 12:35:29.892, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.09 W
2024/05/07 12:35:30.892, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 220.29 W
2024/05/07 12:35:31.893, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.54 W
2024/05/07 12:35:32.894, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 219.64 W
2024/05/07 12:35:33.894, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 220.31 W
2024/05/07 12:35:34.895, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 220.78 W
2024/05/07 12:35:35.895, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 86 %, 99 %, 218.50 W
2024/05/07 12:35:36.896, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 220.35 W
2024/05/07 12:35:37.896, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 99 %, 220.82 W
2024/05/07 12:35:38.897, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 219.48 W
2024/05/07 12:35:39.898, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 87 %, 100 %, 220.98 W
2024/05/07 12:35:40.898, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 221.29 W
2024/05/07 12:35:41.899, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 220.82 W
2024/05/07 12:35:42.899, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10182 MiB, 14034 MiB, 85 %, 100 %, 220.99 W
2024/05/07 12:35:43.900, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 221.08 W
2024/05/07 12:35:44.901, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 221.07 W
2024/05/07 12:35:45.901, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 82 %, 100 %, 220.70 W
2024/05/07 12:35:46.902, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.71 W
2024/05/07 12:35:47.903, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 220.59 W
2024/05/07 12:35:48.904, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 221.09 W
2024/05/07 12:35:49.905, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 220.75 W
2024/05/07 12:35:50.906, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 221.06 W
2024/05/07 12:35:51.907, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 221.55 W
2024/05/07 12:35:52.907, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 221.36 W
2024/05/07 12:35:53.908, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 221.84 W
2024/05/07 12:35:54.908, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 221.74 W
2024/05/07 12:35:55.909, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 10182 MiB, 14034 MiB, 86 %, 99 %, 219.81 W
2024/05/07 12:35:56.909, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 221.71 W
2024/05/07 12:35:57.910, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 99 %, 221.99 W
2024/05/07 12:35:58.910, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 219.59 W
2024/05/07 12:35:59.911, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 86 %, 100 %, 221.81 W
2024/05/07 12:36:00.912, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 99 %, 221.74 W
2024/05/07 12:36:01.912, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 221.22 W
2024/05/07 12:36:02.913, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 85 %, 100 %, 221.71 W
2024/05/07 12:36:03.913, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 100 %, 221.56 W
2024/05/07 12:36:04.914, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 221.91 W
2024/05/07 12:36:05.915, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 83 %, 100 %, 221.93 W
2024/05/07 12:36:06.916, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 99 %, 222.10 W
2024/05/07 12:36:07.917, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 222.23 W
2024/05/07 12:36:08.918, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 222.38 W
2024/05/07 12:36:09.919, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 222.12 W
2024/05/07 12:36:10.919, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 88 %, 100 %, 222.24 W
2024/05/07 12:36:11.920, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 222.66 W
2024/05/07 12:36:12.920, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 10182 MiB, 14034 MiB, 84 %, 100 %, 222.16 W
