timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 12:21:28.706, NVIDIA GeForce RTX 4090, P0, 54, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 55.39 W
2024/05/07 12:21:29.706, NVIDIA GeForce RTX 4090, P0, 54, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 54.26 W
2024/05/07 12:21:30.707, NVIDIA GeForce RTX 4090, P0, 53, 24564 MiB, 24127 MiB, 89 MiB, 0 %, 0 %, 54.06 W
2024/05/07 12:21:31.708, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22463 MiB, 1754 MiB, 14 %, 80 %, 67.80 W
2024/05/07 12:21:32.709, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 113.44 W
2024/05/07 12:21:33.709, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 120.19 W
2024/05/07 12:21:34.710, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 119.20 W
2024/05/07 12:21:35.711, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 117.83 W
2024/05/07 12:21:36.712, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 116.13 W
2024/05/07 12:21:37.713, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 115.62 W
2024/05/07 12:21:38.713, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 115.54 W
2024/05/07 12:21:39.714, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 115.45 W
2024/05/07 12:21:40.715, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 92 %, 115.00 W
2024/05/07 12:21:41.715, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 90 %, 114.88 W
2024/05/07 12:21:42.716, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 90 %, 115.54 W
2024/05/07 12:21:43.716, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22463 MiB, 1754 MiB, 16 %, 89 %, 117.06 W
