timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 21:00:16.048, NVIDIA GeForce RTX 4090, P3, 57, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 78.30 W
2024/04/24 21:00:17.049, NVIDIA GeForce RTX 4090, P5, 56, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 67.21 W
2024/04/24 21:00:18.050, NVIDIA GeForce RTX 4090, P5, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 33.11 W
2024/04/24 21:00:19.050, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 21320 MiB, 2896 MiB, 0 %, 6 %, 47.81 W
2024/04/24 21:00:20.051, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 19940 MiB, 4276 MiB, 0 %, 5 %, 64.44 W
2024/04/24 21:00:21.051, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 18460 MiB, 5756 MiB, 0 %, 7 %, 64.87 W
2024/04/24 21:00:22.052, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 16928 MiB, 7288 MiB, 0 %, 7 %, 64.43 W
2024/04/24 21:00:23.053, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 15538 MiB, 8678 MiB, 0 %, 7 %, 65.03 W
2024/04/24 21:00:24.053, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 14326 MiB, 9890 MiB, 12 %, 44 %, 82.58 W
2024/04/24 21:00:25.054, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 14324 MiB, 9892 MiB, 30 %, 100 %, 360.13 W
2024/04/24 21:00:26.054, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 14324 MiB, 9892 MiB, 30 %, 100 %, 393.50 W
2024/04/24 21:00:27.055, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 14324 MiB, 9892 MiB, 30 %, 100 %, 394.78 W
2024/04/24 21:00:28.056, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 14324 MiB, 9892 MiB, 29 %, 100 %, 395.62 W
2024/04/24 21:00:29.056, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 14324 MiB, 9892 MiB, 29 %, 100 %, 396.34 W
2024/04/24 21:00:30.057, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 14324 MiB, 9892 MiB, 30 %, 100 %, 396.71 W
2024/04/24 21:00:31.057, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 7748 MiB, 16468 MiB, 30 %, 100 %, 345.49 W
2024/04/24 21:00:32.058, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 7748 MiB, 16468 MiB, 30 %, 100 %, 396.78 W
2024/04/24 21:00:33.059, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7748 MiB, 16468 MiB, 30 %, 100 %, 397.74 W
2024/04/24 21:00:34.059, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7748 MiB, 16468 MiB, 30 %, 100 %, 397.96 W
2024/04/24 21:00:35.060, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7748 MiB, 16468 MiB, 30 %, 100 %, 398.25 W
2024/04/24 21:00:36.060, NVIDIA GeForce RTX 4090, P2, 74, 24564 MiB, 7748 MiB, 16468 MiB, 29 %, 100 %, 399.17 W
2024/04/24 21:00:37.061, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 7746 MiB, 16470 MiB, 37 %, 52 %, 355.38 W
2024/04/24 21:00:38.062, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 287.69 W
2024/04/24 21:00:39.063, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 332.99 W
2024/04/24 21:00:40.064, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.35 W
2024/04/24 21:00:41.065, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.93 W
2024/04/24 21:00:42.111, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.12 W
2024/04/24 21:00:43.112, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.74 W
2024/04/24 21:00:44.113, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.60 W
2024/04/24 21:00:45.113, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 333.96 W
2024/04/24 21:00:46.114, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 334.12 W
2024/04/24 21:00:47.114, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.64 W
2024/04/24 21:00:48.115, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.67 W
2024/04/24 21:00:49.116, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 311.71 W
2024/04/24 21:00:50.117, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.02 W
2024/04/24 21:00:51.117, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.22 W
2024/04/24 21:00:52.118, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 333.00 W
2024/04/24 21:00:53.119, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 333.35 W
2024/04/24 21:00:54.120, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 333.21 W
2024/04/24 21:00:55.121, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 333.32 W
2024/04/24 21:00:56.121, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 333.24 W
2024/04/24 21:00:57.122, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 332.86 W
2024/04/24 21:00:58.122, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 332.93 W
2024/04/24 21:00:59.123, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 332.65 W
2024/04/24 21:01:00.123, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 41 %, 100 %, 332.50 W
2024/04/24 21:01:01.124, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 7746 MiB, 16470 MiB, 42 %, 100 %, 308.91 W
2024/04/24 21:01:02.125, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7746 MiB, 16470 MiB, 43 %, 100 %, 332.39 W
