timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 20:54:59.568, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 62.20 W
2024/04/24 20:55:00.569, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 40.54 W
2024/04/24 20:55:01.570, NVIDIA GeForce RTX 4090, P3, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 40.46 W
2024/04/24 20:55:02.570, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22402 MiB, 1815 MiB, 0 %, 0 %, 55.46 W
2024/04/24 20:55:03.571, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22402 MiB, 1815 MiB, 0 %, 0 %, 64.97 W
2024/04/24 20:55:04.571, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22402 MiB, 1815 MiB, 0 %, 0 %, 63.89 W
2024/04/24 20:55:05.572, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22402 MiB, 1815 MiB, 0 %, 0 %, 63.64 W
2024/04/24 20:55:06.572, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22402 MiB, 1815 MiB, 0 %, 0 %, 63.48 W
2024/04/24 20:55:07.573, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 21586 MiB, 2630 MiB, 0 %, 2 %, 63.15 W
2024/04/24 20:55:08.577, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 14594 MiB, 9622 MiB, 1 %, 49 %, 72.34 W
2024/04/24 20:55:09.577, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10220 MiB, 13996 MiB, 8 %, 10 %, 81.03 W
2024/04/24 20:55:10.578, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10156 MiB, 14060 MiB, 84 %, 89 %, 236.29 W
2024/04/24 20:55:11.578, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10118 MiB, 14098 MiB, 88 %, 92 %, 264.35 W
2024/04/24 20:55:12.579, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10118 MiB, 14098 MiB, 50 %, 53 %, 250.89 W
2024/04/24 20:55:13.580, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 10118 MiB, 14098 MiB, 67 %, 99 %, 226.51 W
2024/04/24 20:55:14.581, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10118 MiB, 14098 MiB, 67 %, 100 %, 257.29 W
2024/04/24 20:55:15.581, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10118 MiB, 14098 MiB, 67 %, 99 %, 257.67 W
2024/04/24 20:55:16.582, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10118 MiB, 14098 MiB, 67 %, 100 %, 257.74 W
2024/04/24 20:55:17.583, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10118 MiB, 14098 MiB, 67 %, 99 %, 258.02 W
2024/04/24 20:55:18.584, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 10118 MiB, 14098 MiB, 67 %, 100 %, 258.40 W
