timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 21:26:17.941, NVIDIA GeForce RTX 4090, P8, 37, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 13.18 W
2024/04/24 21:26:18.942, NVIDIA GeForce RTX 4090, P8, 37, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 13.25 W
2024/04/24 21:26:19.943, NVIDIA GeForce RTX 4090, P8, 37, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 13.30 W
2024/04/24 21:26:20.943, NVIDIA GeForce RTX 4090, P8, 37, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 13.38 W
2024/04/24 21:26:21.944, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 22402 MiB, 1815 MiB, 0 %, 0 %, 29.60 W
2024/04/24 21:26:22.947, NVIDIA GeForce RTX 4090, P2, 40, 24564 MiB, 20770 MiB, 3446 MiB, 17 %, 87 %, 76.21 W
2024/04/24 21:26:23.952, NVIDIA GeForce RTX 4090, P2, 39, 24564 MiB, 20768 MiB, 3448 MiB, 0 %, 0 %, 68.72 W
2024/04/24 21:26:24.953, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 20768 MiB, 3448 MiB, 0 %, 0 %, 65.08 W
2024/04/24 21:26:25.953, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 20768 MiB, 3448 MiB, 0 %, 0 %, 60.78 W
2024/04/24 21:26:26.954, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 20768 MiB, 3448 MiB, 0 %, 0 %, 57.38 W
2024/04/24 21:26:27.954, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 20768 MiB, 3448 MiB, 0 %, 0 %, 54.55 W
2024/04/24 21:26:28.955, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 20768 MiB, 3448 MiB, 0 %, 0 %, 55.12 W
2024/04/24 21:26:29.955, NVIDIA GeForce RTX 4090, P2, 38, 24564 MiB, 19325 MiB, 4892 MiB, 1 %, 24 %, 55.14 W
2024/04/24 21:26:30.956, NVIDIA GeForce RTX 4090, P2, 39, 24564 MiB, 12225 MiB, 11992 MiB, 1 %, 43 %, 61.28 W
2024/04/24 21:26:31.957, NVIDIA GeForce RTX 4090, P2, 39, 24564 MiB, 8593 MiB, 15624 MiB, 8 %, 10 %, 70.83 W
2024/04/24 21:26:32.958, NVIDIA GeForce RTX 4090, P2, 44, 24564 MiB, 8523 MiB, 15694 MiB, 81 %, 86 %, 223.49 W
2024/04/24 21:26:33.959, NVIDIA GeForce RTX 4090, P2, 45, 24564 MiB, 8485 MiB, 15732 MiB, 85 %, 89 %, 243.62 W
2024/04/24 21:26:34.960, NVIDIA GeForce RTX 4090, P2, 43, 24564 MiB, 8485 MiB, 15732 MiB, 81 %, 86 %, 244.81 W
2024/04/24 21:26:35.960, NVIDIA GeForce RTX 4090, P2, 46, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 212.60 W
2024/04/24 21:26:36.994, NVIDIA GeForce RTX 4090, P2, 46, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 220.77 W
2024/04/24 21:26:37.995, NVIDIA GeForce RTX 4090, P2, 46, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 221.24 W
2024/04/24 21:26:38.996, NVIDIA GeForce RTX 4090, P2, 46, 24564 MiB, 8485 MiB, 15732 MiB, 51 %, 100 %, 220.14 W
2024/04/24 21:26:39.997, NVIDIA GeForce RTX 4090, P2, 47, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 220.37 W
2024/04/24 21:26:40.998, NVIDIA GeForce RTX 4090, P2, 47, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 223.10 W
2024/04/24 21:26:41.998, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 220.56 W
2024/04/24 21:26:42.999, NVIDIA GeForce RTX 4090, P2, 47, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 221.05 W
2024/04/24 21:26:43.999, NVIDIA GeForce RTX 4090, P2, 47, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 221.38 W
2024/04/24 21:26:45.000, NVIDIA GeForce RTX 4090, P2, 48, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 221.69 W
2024/04/24 21:26:46.001, NVIDIA GeForce RTX 4090, P2, 48, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 222.29 W
2024/04/24 21:26:47.001, NVIDIA GeForce RTX 4090, P2, 48, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 223.08 W
2024/04/24 21:26:48.002, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 224.83 W
2024/04/24 21:26:49.002, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 222.20 W
2024/04/24 21:26:50.003, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 222.45 W
2024/04/24 21:26:51.003, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 222.26 W
2024/04/24 21:26:52.004, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 222.82 W
2024/04/24 21:26:53.004, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 222.64 W
2024/04/24 21:26:54.005, NVIDIA GeForce RTX 4090, P2, 49, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 222.42 W
2024/04/24 21:26:55.006, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 222.96 W
2024/04/24 21:26:56.006, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 225.18 W
2024/04/24 21:26:57.007, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 223.14 W
2024/04/24 21:26:58.008, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 223.23 W
2024/04/24 21:26:59.009, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 223.80 W
2024/04/24 21:27:00.009, NVIDIA GeForce RTX 4090, P2, 50, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 223.18 W
2024/04/24 21:27:01.010, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 224.72 W
2024/04/24 21:27:02.011, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 223.95 W
2024/04/24 21:27:03.012, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 224.05 W
2024/04/24 21:27:04.012, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 224.35 W
2024/04/24 21:27:05.013, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 224.14 W
2024/04/24 21:27:06.013, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 224.55 W
2024/04/24 21:27:07.014, NVIDIA GeForce RTX 4090, P2, 51, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 223.94 W
2024/04/24 21:27:08.015, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 224.29 W
2024/04/24 21:27:09.015, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 224.43 W
2024/04/24 21:27:10.016, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 226.46 W
2024/04/24 21:27:11.016, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 224.41 W
2024/04/24 21:27:12.017, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 224.47 W
2024/04/24 21:27:13.017, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 225.36 W
2024/04/24 21:27:14.018, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 225.82 W
2024/04/24 21:27:15.019, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 224.92 W
2024/04/24 21:27:16.019, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 226.00 W
2024/04/24 21:27:17.020, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 225.60 W
2024/04/24 21:27:18.021, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 226.40 W
2024/04/24 21:27:19.022, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 225.60 W
2024/04/24 21:27:20.023, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 226.10 W
2024/04/24 21:27:21.024, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 226.20 W
2024/04/24 21:27:22.025, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 226.11 W
2024/04/24 21:27:23.026, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 226.46 W
2024/04/24 21:27:24.026, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 226.78 W
2024/04/24 21:27:25.027, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 226.67 W
2024/04/24 21:27:26.027, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 227.06 W
2024/04/24 21:27:27.028, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 226.97 W
2024/04/24 21:27:28.028, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 226.51 W
2024/04/24 21:27:29.029, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 227.04 W
2024/04/24 21:27:30.030, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 227.21 W
2024/04/24 21:27:31.030, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 226.70 W
2024/04/24 21:27:32.031, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 226.99 W
2024/04/24 21:27:33.031, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 228.74 W
2024/04/24 21:27:34.032, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 227.52 W
2024/04/24 21:27:35.032, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 227.44 W
2024/04/24 21:27:36.033, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 228.07 W
2024/04/24 21:27:37.067, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 227.18 W
2024/04/24 21:27:38.068, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 227.78 W
2024/04/24 21:27:39.068, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 227.92 W
2024/04/24 21:27:40.069, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 228.86 W
2024/04/24 21:27:41.070, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 228.61 W
2024/04/24 21:27:42.071, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 228.28 W
2024/04/24 21:27:43.071, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 228.23 W
2024/04/24 21:27:44.072, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 8485 MiB, 15732 MiB, 53 %, 100 %, 228.45 W
2024/04/24 21:27:45.073, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 228.72 W
2024/04/24 21:27:46.074, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 52 %, 100 %, 228.64 W
2024/04/24 21:27:47.075, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 55 %, 100 %, 229.17 W
2024/04/24 21:27:48.076, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 230.57 W
2024/04/24 21:27:49.077, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 229.82 W
2024/04/24 21:27:50.077, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 8485 MiB, 15732 MiB, 54 %, 100 %, 228.91 W
