timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 20:39:24.948, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 60.35 W
2024/04/24 20:39:25.949, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 48.98 W
2024/04/24 20:39:26.949, NVIDIA GeForce RTX 4090, P5, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 37.84 W
2024/04/24 20:39:27.950, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22402 MiB, 1815 MiB, 37 %, 61 %, 107.57 W
2024/04/24 20:39:28.950, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 189.70 W
2024/04/24 20:39:29.951, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 192.41 W
2024/04/24 20:39:30.952, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 192.52 W
2024/04/24 20:39:31.952, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 37 %, 60 %, 192.72 W
2024/04/24 20:39:32.953, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 192.96 W
2024/04/24 20:39:33.953, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 193.28 W
2024/04/24 20:39:34.954, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 37 %, 61 %, 193.38 W
2024/04/24 20:39:35.955, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 37 %, 60 %, 193.30 W
2024/04/24 20:39:36.956, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 193.48 W
2024/04/24 20:39:37.957, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 193.22 W
2024/04/24 20:39:38.957, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 193.22 W
2024/04/24 20:39:39.958, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 37 %, 60 %, 193.24 W
2024/04/24 20:39:40.958, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22402 MiB, 1815 MiB, 36 %, 60 %, 193.55 W
