timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 20:28:54.634, NVIDIA GeForce RTX 4090, P8, 36, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 12.97 W
2024/04/24 20:28:55.635, NVIDIA GeForce RTX 4090, P8, 36, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 13.05 W
2024/04/24 20:28:56.635, NVIDIA GeForce RTX 4090, P2, 37, 24564 MiB, 23648 MiB, 569 MiB, 0 %, 1 %, 13.90 W
2024/04/24 20:28:57.636, NVIDIA GeForce RTX 4090, P2, 37, 24564 MiB, 16938 MiB, 7279 MiB, 1 %, 26 %, 56.65 W
2024/04/24 20:28:58.637, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 16118 MiB, 8099 MiB, 30 %, 100 %, 208.26 W
2024/04/24 20:28:59.638, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 16118 MiB, 8099 MiB, 29 %, 100 %, 376.20 W
2024/04/24 20:29:00.638, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 16118 MiB, 8099 MiB, 30 %, 100 %, 377.53 W
2024/04/24 20:29:01.639, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 16118 MiB, 8099 MiB, 31 %, 100 %, 378.36 W
2024/04/24 20:29:02.640, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 16118 MiB, 8099 MiB, 31 %, 100 %, 378.74 W
2024/04/24 20:29:03.640, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 16118 MiB, 8099 MiB, 30 %, 100 %, 379.28 W
2024/04/24 20:29:04.641, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 9542 MiB, 14675 MiB, 13 %, 43 %, 326.41 W
2024/04/24 20:29:05.641, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 9542 MiB, 14675 MiB, 29 %, 100 %, 373.15 W
2024/04/24 20:29:06.642, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 9542 MiB, 14675 MiB, 30 %, 100 %, 380.31 W
2024/04/24 20:29:07.642, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 9542 MiB, 14675 MiB, 30 %, 100 %, 381.57 W
2024/04/24 20:29:08.643, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 9542 MiB, 14675 MiB, 30 %, 100 %, 381.98 W
2024/04/24 20:29:09.643, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 9542 MiB, 14675 MiB, 30 %, 100 %, 381.78 W
2024/04/24 20:29:10.644, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 382.63 W
2024/04/24 20:29:11.644, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 285.05 W
2024/04/24 20:29:12.645, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 382.92 W
2024/04/24 20:29:13.646, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 383.34 W
2024/04/24 20:29:14.646, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 384.19 W
2024/04/24 20:29:15.647, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 384.69 W
2024/04/24 20:29:16.648, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 384.90 W
2024/04/24 20:29:17.648, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 9540 MiB, 14677 MiB, 47 %, 69 %, 358.70 W
2024/04/24 20:29:18.649, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 352.08 W
2024/04/24 20:29:19.650, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 385.39 W
2024/04/24 20:29:20.651, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 385.86 W
2024/04/24 20:29:21.652, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 386.69 W
2024/04/24 20:29:22.660, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 387.10 W
2024/04/24 20:29:23.661, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 387.19 W
2024/04/24 20:29:24.662, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 348.36 W
2024/04/24 20:29:25.662, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 387.88 W
2024/04/24 20:29:26.663, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 388.70 W
2024/04/24 20:29:27.663, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 9540 MiB, 14677 MiB, 30 %, 100 %, 388.81 W
2024/04/24 20:29:28.664, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 389.23 W
2024/04/24 20:29:29.665, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 9540 MiB, 14677 MiB, 29 %, 100 %, 389.66 W
2024/04/24 20:29:30.666, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 9538 MiB, 14679 MiB, 33 %, 51 %, 351.64 W
2024/04/24 20:29:31.667, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 9538 MiB, 14679 MiB, 30 %, 100 %, 367.11 W
2024/04/24 20:29:32.668, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 9538 MiB, 14679 MiB, 30 %, 100 %, 390.15 W
2024/04/24 20:29:33.668, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 9538 MiB, 14679 MiB, 29 %, 100 %, 391.27 W
2024/04/24 20:29:34.669, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 9538 MiB, 14679 MiB, 29 %, 100 %, 391.19 W
2024/04/24 20:29:35.670, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 9538 MiB, 14679 MiB, 30 %, 100 %, 391.78 W
2024/04/24 20:29:36.670, NVIDIA GeForce RTX 4090, P2, 68, 24564 MiB, 9538 MiB, 14679 MiB, 30 %, 100 %, 391.87 W
2024/04/24 20:29:37.671, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 9538 MiB, 14679 MiB, 30 %, 100 %, 352.07 W
2024/04/24 20:29:38.671, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 9538 MiB, 14679 MiB, 29 %, 100 %, 391.88 W
2024/04/24 20:29:39.672, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 9538 MiB, 14679 MiB, 29 %, 100 %, 392.51 W
