timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 21:11:06.325, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 71.39 W
2024/04/24 21:11:07.325, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 54.70 W
2024/04/24 21:11:08.326, NVIDIA GeForce RTX 4090, P5, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 37.90 W
2024/04/24 21:11:09.327, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 21574 MiB, 2642 MiB, 1 %, 42 %, 51.71 W
2024/04/24 21:11:10.327, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 17008 MiB, 7208 MiB, 1 %, 39 %, 99.37 W
2024/04/24 21:11:11.328, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 15554 MiB, 8662 MiB, 0 %, 7 %, 77.58 W
2024/04/24 21:11:12.329, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 14538 MiB, 9678 MiB, 20 %, 71 %, 137.39 W
2024/04/24 21:11:13.329, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 14538 MiB, 9678 MiB, 30 %, 100 %, 391.45 W
2024/04/24 21:11:14.330, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 14538 MiB, 9678 MiB, 29 %, 100 %, 394.71 W
2024/04/24 21:11:15.330, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 14538 MiB, 9678 MiB, 29 %, 100 %, 396.30 W
2024/04/24 21:11:16.331, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 14538 MiB, 9678 MiB, 29 %, 100 %, 397.70 W
2024/04/24 21:11:17.332, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 14538 MiB, 9678 MiB, 30 %, 100 %, 397.35 W
2024/04/24 21:11:18.332, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7960 MiB, 16256 MiB, 28 %, 97 %, 393.54 W
2024/04/24 21:11:19.333, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7960 MiB, 16256 MiB, 30 %, 100 %, 349.39 W
2024/04/24 21:11:20.333, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7960 MiB, 16256 MiB, 30 %, 100 %, 398.35 W
2024/04/24 21:11:21.334, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7960 MiB, 16256 MiB, 30 %, 100 %, 399.34 W
2024/04/24 21:11:22.334, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 399.50 W
2024/04/24 21:11:23.335, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 399.59 W
2024/04/24 21:11:24.335, NVIDIA GeForce RTX 4090, P2, 74, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 399.87 W
2024/04/24 21:11:25.336, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 7960 MiB, 16256 MiB, 11 %, 39 %, 331.43 W
2024/04/24 21:11:26.336, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 334.34 W
2024/04/24 21:11:27.337, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 7960 MiB, 16256 MiB, 28 %, 100 %, 336.70 W
2024/04/24 21:11:28.338, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 335.93 W
2024/04/24 21:11:29.340, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 337.47 W
2024/04/24 21:11:30.340, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 7960 MiB, 16256 MiB, 29 %, 100 %, 335.10 W
2024/04/24 21:11:31.383, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 7960 MiB, 16256 MiB, 28 %, 100 %, 337.83 W
2024/04/24 21:11:32.383, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7960 MiB, 16256 MiB, 28 %, 100 %, 335.49 W
2024/04/24 21:11:33.384, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 7960 MiB, 16256 MiB, 28 %, 100 %, 338.27 W
2024/04/24 21:11:34.384, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 7958 MiB, 16258 MiB, 24 %, 95 %, 307.99 W
2024/04/24 21:11:35.385, NVIDIA GeForce RTX 4090, P2, 71, 24564 MiB, 7958 MiB, 16258 MiB, 28 %, 100 %, 334.97 W
