timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 21:31:39.588, NVIDIA GeForce RTX 4090, P0, 57, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 79.77 W
2024/04/24 21:31:40.588, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 74.69 W
2024/04/24 21:31:41.589, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 38.97 W
2024/04/24 21:31:42.590, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22398 MiB, 1819 MiB, 0 %, 0 %, 60.34 W
2024/04/24 21:31:43.590, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 19279 MiB, 4938 MiB, 14 %, 74 %, 86.42 W
2024/04/24 21:31:44.591, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 17781 MiB, 6436 MiB, 0 %, 7 %, 84.01 W
2024/04/24 21:31:45.592, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 16277 MiB, 7940 MiB, 0 %, 7 %, 76.54 W
2024/04/24 21:31:46.592, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 14971 MiB, 9246 MiB, 0 %, 4 %, 64.64 W
2024/04/24 21:31:47.593, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 13575 MiB, 10642 MiB, 0 %, 6 %, 64.43 W
2024/04/24 21:31:48.594, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 12753 MiB, 11464 MiB, 15 %, 53 %, 125.92 W
2024/04/24 21:31:49.595, NVIDIA GeForce RTX 4090, P2, 69, 24564 MiB, 12753 MiB, 11464 MiB, 30 %, 100 %, 389.84 W
2024/04/24 21:31:50.596, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 12753 MiB, 11464 MiB, 30 %, 100 %, 393.17 W
2024/04/24 21:31:51.597, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 12753 MiB, 11464 MiB, 29 %, 100 %, 394.30 W
2024/04/24 21:31:52.598, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 12753 MiB, 11464 MiB, 29 %, 100 %, 395.38 W
2024/04/24 21:31:53.599, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 12753 MiB, 11464 MiB, 29 %, 100 %, 395.99 W
2024/04/24 21:31:54.600, NVIDIA GeForce RTX 4090, P2, 70, 24564 MiB, 6175 MiB, 18042 MiB, 30 %, 100 %, 391.15 W
2024/04/24 21:31:55.601, NVIDIA GeForce RTX 4090, P2, 72, 24564 MiB, 6175 MiB, 18042 MiB, 30 %, 100 %, 321.28 W
2024/04/24 21:31:56.601, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 6175 MiB, 18042 MiB, 30 %, 100 %, 396.30 W
2024/04/24 21:31:57.602, NVIDIA GeForce RTX 4090, P2, 74, 24564 MiB, 6175 MiB, 18042 MiB, 29 %, 100 %, 397.42 W
2024/04/24 21:31:58.603, NVIDIA GeForce RTX 4090, P2, 74, 24564 MiB, 6175 MiB, 18042 MiB, 29 %, 100 %, 397.75 W
2024/04/24 21:31:59.603, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 6175 MiB, 18042 MiB, 29 %, 100 %, 398.17 W
2024/04/24 21:32:00.604, NVIDIA GeForce RTX 4090, P2, 73, 24564 MiB, 6175 MiB, 18042 MiB, 30 %, 100 %, 398.02 W
2024/04/24 21:32:01.604, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 6175 MiB, 18042 MiB, 25 %, 32 %, 320.75 W
2024/04/24 21:32:02.605, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 38 %, 100 %, 257.83 W
2024/04/24 21:32:03.605, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6175 MiB, 18042 MiB, 39 %, 100 %, 308.97 W
2024/04/24 21:32:04.606, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6175 MiB, 18042 MiB, 40 %, 100 %, 308.33 W
2024/04/24 21:32:05.606, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6175 MiB, 18042 MiB, 40 %, 100 %, 307.90 W
2024/04/24 21:32:06.607, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 39 %, 100 %, 307.50 W
2024/04/24 21:32:07.607, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6175 MiB, 18042 MiB, 39 %, 100 %, 308.24 W
2024/04/24 21:32:08.608, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 39 %, 100 %, 309.04 W
2024/04/24 21:32:09.608, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 40 %, 100 %, 308.31 W
2024/04/24 21:32:10.609, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6175 MiB, 18042 MiB, 40 %, 100 %, 307.21 W
2024/04/24 21:32:11.610, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 40 %, 100 %, 307.90 W
2024/04/24 21:32:12.611, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 39 %, 100 %, 307.57 W
2024/04/24 21:32:13.612, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6175 MiB, 18042 MiB, 39 %, 100 %, 308.26 W
2024/04/24 21:32:14.613, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6175 MiB, 18042 MiB, 40 %, 100 %, 307.20 W
2024/04/24 21:32:15.613, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 53 %, 99 %, 284.65 W
2024/04/24 21:32:16.615, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 300.37 W
2024/04/24 21:32:17.615, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 309.67 W
2024/04/24 21:32:18.616, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 308.94 W
2024/04/24 21:32:19.617, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 308.04 W
2024/04/24 21:32:20.617, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 308.61 W
2024/04/24 21:32:21.618, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 308.57 W
2024/04/24 21:32:22.618, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 306.27 W
2024/04/24 21:32:23.619, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 306.75 W
2024/04/24 21:32:24.619, NVIDIA GeForce RTX 4090, P2, 67, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 306.15 W
2024/04/24 21:32:25.620, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 307.18 W
2024/04/24 21:32:26.621, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 308.28 W
2024/04/24 21:32:27.621, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 307.32 W
2024/04/24 21:32:28.622, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 307.28 W
2024/04/24 21:32:29.622, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 283.73 W
2024/04/24 21:32:30.628, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 306.86 W
2024/04/24 21:32:31.629, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 306.95 W
2024/04/24 21:32:32.629, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 305.64 W
2024/04/24 21:32:33.630, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 305.92 W
2024/04/24 21:32:34.630, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 305.48 W
2024/04/24 21:32:35.631, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 306.87 W
2024/04/24 21:32:36.631, NVIDIA GeForce RTX 4090, P2, 66, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 307.15 W
2024/04/24 21:32:37.632, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 306.17 W
2024/04/24 21:32:38.632, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 305.73 W
2024/04/24 21:32:39.633, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 304.79 W
2024/04/24 21:32:40.633, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 305.80 W
2024/04/24 21:32:41.634, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 306.57 W
2024/04/24 21:32:42.634, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 6173 MiB, 18044 MiB, 46 %, 100 %, 303.98 W
2024/04/24 21:32:43.635, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 280.37 W
2024/04/24 21:32:44.635, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 307.11 W
2024/04/24 21:32:45.636, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 305.35 W
2024/04/24 21:32:46.636, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 304.98 W
2024/04/24 21:32:47.637, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 305.17 W
2024/04/24 21:32:48.638, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 304.99 W
2024/04/24 21:32:49.639, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 306.68 W
2024/04/24 21:32:50.640, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 305.21 W
2024/04/24 21:32:51.640, NVIDIA GeForce RTX 4090, P2, 65, 24564 MiB, 6173 MiB, 18044 MiB, 39 %, 100 %, 304.70 W
2024/04/24 21:32:52.641, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 6173 MiB, 18044 MiB, 40 %, 100 %, 305.25 W
