timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 20:49:52.554, NVIDIA GeForce RTX 4090, P3, 57, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 78.34 W
2024/04/24 20:49:53.554, NVIDIA GeForce RTX 4090, P3, 56, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 64.76 W
2024/04/24 20:49:54.555, NVIDIA GeForce RTX 4090, P3, 56, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 52.63 W
2024/04/24 20:49:55.556, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 20834 MiB, 3382 MiB, 2 %, 31 %, 53.69 W
2024/04/24 20:49:56.556, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 147.64 W
2024/04/24 20:49:57.557, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20764 MiB, 3452 MiB, 34 %, 98 %, 205.37 W
2024/04/24 20:49:58.557, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 205.60 W
2024/04/24 20:49:59.558, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20764 MiB, 3452 MiB, 34 %, 98 %, 208.58 W
2024/04/24 20:50:00.559, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 99 %, 211.25 W
2024/04/24 20:50:01.560, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 210.12 W
2024/04/24 20:50:02.561, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 206.27 W
2024/04/24 20:50:03.562, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 205.83 W
2024/04/24 20:50:04.563, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 205.85 W
2024/04/24 20:50:05.563, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 205.94 W
2024/04/24 20:50:06.564, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 20764 MiB, 3452 MiB, 34 %, 98 %, 205.39 W
2024/04/24 20:50:07.565, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 20764 MiB, 3452 MiB, 35 %, 98 %, 205.62 W
