timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 20:44:30.733, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 63.45 W
2024/04/24 20:44:31.733, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 50.36 W
2024/04/24 20:44:32.734, NVIDIA GeForce RTX 4090, P3, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 38.87 W
2024/04/24 20:44:33.734, NVIDIA GeForce RTX 4090, P5, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 38.86 W
2024/04/24 20:44:34.735, NVIDIA GeForce RTX 4090, P5, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 34.55 W
2024/04/24 20:44:35.736, NVIDIA GeForce RTX 4090, P8, 53, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 27.78 W
2024/04/24 20:44:36.736, NVIDIA GeForce RTX 4090, P8, 53, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 24.16 W
2024/04/24 20:44:37.737, NVIDIA GeForce RTX 4090, P8, 53, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 18.66 W
2024/04/24 20:44:38.738, NVIDIA GeForce RTX 4090, P8, 52, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 18.62 W
2024/04/24 20:44:39.739, NVIDIA GeForce RTX 4090, P8, 52, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 18.05 W
2024/04/24 20:44:40.739, NVIDIA GeForce RTX 4090, P8, 52, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 17.18 W
2024/04/24 20:44:41.740, NVIDIA GeForce RTX 4090, P8, 52, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 16.68 W
2024/04/24 20:44:42.741, NVIDIA GeForce RTX 4090, P8, 52, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 16.02 W
2024/04/24 20:44:43.742, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 20544 MiB, 3673 MiB, 1 %, 40 %, 36.58 W
2024/04/24 20:44:44.742, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 14436 MiB, 9781 MiB, 1 %, 45 %, 73.68 W
2024/04/24 20:44:45.743, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 11974 MiB, 12243 MiB, 87 %, 92 %, 118.60 W
2024/04/24 20:44:46.744, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 260.41 W
2024/04/24 20:44:47.744, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 262.79 W
2024/04/24 20:44:48.745, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 257.34 W
2024/04/24 20:44:49.745, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 11894 MiB, 12323 MiB, 88 %, 92 %, 263.97 W
2024/04/24 20:44:50.746, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 11894 MiB, 12323 MiB, 86 %, 92 %, 264.34 W
2024/04/24 20:44:51.746, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 264.98 W
2024/04/24 20:44:52.747, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 265.35 W
2024/04/24 20:44:53.748, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 11894 MiB, 12323 MiB, 88 %, 93 %, 265.29 W
2024/04/24 20:44:54.748, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 11894 MiB, 12323 MiB, 88 %, 92 %, 265.29 W
2024/04/24 20:44:55.749, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 265.17 W
2024/04/24 20:44:56.750, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 265.55 W
2024/04/24 20:44:57.751, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 265.61 W
2024/04/24 20:44:58.751, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 11894 MiB, 12323 MiB, 88 %, 92 %, 265.72 W
2024/04/24 20:44:59.752, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 266.13 W
2024/04/24 20:45:00.753, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 93 %, 266.27 W
2024/04/24 20:45:01.754, NVIDIA GeForce RTX 4090, P2, 62, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 266.69 W
2024/04/24 20:45:02.755, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 266.68 W
2024/04/24 20:45:03.755, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 88 %, 92 %, 266.69 W
2024/04/24 20:45:04.756, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 86 %, 92 %, 266.63 W
2024/04/24 20:45:05.757, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 267.58 W
2024/04/24 20:45:06.757, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 267.90 W
2024/04/24 20:45:07.758, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 267.81 W
2024/04/24 20:45:08.758, NVIDIA GeForce RTX 4090, P2, 63, 24564 MiB, 11894 MiB, 12323 MiB, 88 %, 92 %, 267.62 W
2024/04/24 20:45:09.759, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 93 %, 267.76 W
2024/04/24 20:45:10.759, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 268.31 W
2024/04/24 20:45:11.760, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 268.55 W
2024/04/24 20:45:12.760, NVIDIA GeForce RTX 4090, P2, 64, 24564 MiB, 11894 MiB, 12323 MiB, 87 %, 92 %, 268.65 W
