timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 21:05:42.536, NVIDIA GeForce RTX 4090, P3, 56, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 75.62 W
2024/04/24 21:05:43.537, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 57.44 W
2024/04/24 21:05:44.549, NVIDIA GeForce RTX 4090, P3, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 39.57 W
2024/04/24 21:05:45.549, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22552 MiB, 1665 MiB, 17 %, 87 %, 72.06 W
2024/04/24 21:05:46.550, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 88.78 W
2024/04/24 21:05:47.551, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 81.76 W
2024/04/24 21:05:48.551, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 73.64 W
2024/04/24 21:05:49.565, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 68.54 W
2024/04/24 21:05:50.568, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 63.63 W
2024/04/24 21:05:51.576, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 63.47 W
2024/04/24 21:05:52.576, NVIDIA GeForce RTX 4090, P2, 53, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 63.26 W
2024/04/24 21:05:53.577, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 63.33 W
2024/04/24 21:05:54.577, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22550 MiB, 1667 MiB, 0 %, 0 %, 63.26 W
2024/04/24 21:05:55.578, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 22535 MiB, 1681 MiB, 0 %, 0 %, 62.89 W
2024/04/24 21:05:56.583, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 15882 MiB, 8334 MiB, 1 %, 28 %, 64.31 W
2024/04/24 21:05:57.583, NVIDIA GeForce RTX 4090, P2, 52, 24564 MiB, 10438 MiB, 13778 MiB, 0 %, 3 %, 71.31 W
2024/04/24 21:05:58.584, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10322 MiB, 13894 MiB, 71 %, 76 %, 177.50 W
2024/04/24 21:05:59.585, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 10262 MiB, 13954 MiB, 88 %, 92 %, 255.36 W
2024/04/24 21:06:00.586, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10262 MiB, 13954 MiB, 87 %, 93 %, 262.89 W
2024/04/24 21:06:01.586, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 10262 MiB, 13954 MiB, 50 %, 99 %, 207.46 W
2024/04/24 21:06:02.587, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 10262 MiB, 13954 MiB, 51 %, 100 %, 211.26 W
