timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/24 20:34:18.531, NVIDIA GeForce RTX 4090, P3, 56, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 78.69 W
2024/04/24 20:34:19.532, NVIDIA GeForce RTX 4090, P3, 55, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 64.96 W
2024/04/24 20:34:20.533, NVIDIA GeForce RTX 4090, P3, 54, 24564 MiB, 24186 MiB, 30 MiB, 0 %, 0 %, 51.46 W
2024/04/24 20:34:21.534, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 6 %, 28 %, 68.03 W
2024/04/24 20:34:22.534, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 158.58 W
2024/04/24 20:34:23.535, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 170.07 W
2024/04/24 20:34:24.536, NVIDIA GeForce RTX 4090, P2, 61, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 165.07 W
2024/04/24 20:34:25.537, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.86 W
2024/04/24 20:34:26.537, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 91 %, 169.60 W
2024/04/24 20:34:27.538, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 168.02 W
2024/04/24 20:34:28.539, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.45 W
2024/04/24 20:34:29.539, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.88 W
2024/04/24 20:34:30.540, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 90 %, 169.77 W
2024/04/24 20:34:31.541, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 166.25 W
2024/04/24 20:34:32.541, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.41 W
2024/04/24 20:34:33.542, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 165.29 W
2024/04/24 20:34:34.543, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 169.06 W
2024/04/24 20:34:35.550, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.85 W
2024/04/24 20:34:36.551, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.45 W
2024/04/24 20:34:37.552, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 167.53 W
2024/04/24 20:34:38.553, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 169.50 W
2024/04/24 20:34:39.553, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.40 W
2024/04/24 20:34:40.554, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.51 W
2024/04/24 20:34:41.554, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 169.12 W
2024/04/24 20:34:42.555, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 169.21 W
2024/04/24 20:34:43.556, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.36 W
2024/04/24 20:34:44.556, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.24 W
2024/04/24 20:34:45.557, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 91 %, 169.21 W
2024/04/24 20:34:46.558, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 167.97 W
2024/04/24 20:34:47.558, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.05 W
2024/04/24 20:34:48.559, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.58 W
2024/04/24 20:34:49.560, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 90 %, 169.30 W
2024/04/24 20:34:50.560, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 165.54 W
2024/04/24 20:34:51.561, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.08 W
2024/04/24 20:34:52.561, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 165.12 W
2024/04/24 20:34:53.562, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 168.54 W
2024/04/24 20:34:54.563, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.78 W
2024/04/24 20:34:55.564, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.07 W
2024/04/24 20:34:56.565, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 167.71 W
2024/04/24 20:34:57.566, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 168.84 W
2024/04/24 20:34:58.566, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.93 W
2024/04/24 20:34:59.567, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.84 W
2024/04/24 20:35:00.568, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 91 %, 168.75 W
2024/04/24 20:35:01.568, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 167.92 W
2024/04/24 20:35:02.569, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.43 W
2024/04/24 20:35:03.569, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.35 W
2024/04/24 20:35:04.570, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 91 %, 168.23 W
2024/04/24 20:35:05.570, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 165.61 W
2024/04/24 20:35:06.613, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 165.31 W
2024/04/24 20:35:07.613, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.27 W
2024/04/24 20:35:08.614, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.32 W
2024/04/24 20:35:09.614, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.49 W
2024/04/24 20:35:10.615, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 167.12 W
2024/04/24 20:35:11.615, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.34 W
2024/04/24 20:35:12.616, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.44 W
2024/04/24 20:35:13.617, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.67 W
2024/04/24 20:35:14.618, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.77 W
2024/04/24 20:35:15.619, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 167.73 W
2024/04/24 20:35:16.621, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.44 W
2024/04/24 20:35:17.621, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.39 W
2024/04/24 20:35:18.622, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.37 W
2024/04/24 20:35:19.623, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 166.78 W
2024/04/24 20:35:20.623, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.28 W
2024/04/24 20:35:21.624, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.72 W
2024/04/24 20:35:22.624, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.44 W
2024/04/24 20:35:23.625, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 91 %, 164.59 W
2024/04/24 20:35:24.625, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.56 W
2024/04/24 20:35:25.626, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.82 W
2024/04/24 20:35:26.627, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.38 W
2024/04/24 20:35:27.627, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 90 %, 163.35 W
2024/04/24 20:35:28.628, NVIDIA GeForce RTX 4090, P2, 54, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.16 W
2024/04/24 20:35:29.628, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 166.59 W
2024/04/24 20:35:30.629, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.16 W
2024/04/24 20:35:31.630, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.44 W
2024/04/24 20:35:32.631, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.18 W
2024/04/24 20:35:33.632, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.68 W
2024/04/24 20:35:34.632, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 167.84 W
2024/04/24 20:35:35.633, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.63 W
2024/04/24 20:35:36.634, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.82 W
2024/04/24 20:35:37.635, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.78 W
2024/04/24 20:35:38.635, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 91 %, 166.48 W
2024/04/24 20:35:39.636, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.43 W
2024/04/24 20:35:40.636, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.20 W
2024/04/24 20:35:41.637, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.36 W
2024/04/24 20:35:42.638, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 91 %, 163.48 W
2024/04/24 20:35:43.638, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.94 W
2024/04/24 20:35:44.639, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 166.56 W
2024/04/24 20:35:45.639, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.80 W
2024/04/24 20:35:46.640, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.63 W
2024/04/24 20:35:47.640, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.61 W
2024/04/24 20:35:48.641, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.73 W
2024/04/24 20:35:49.642, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.06 W
2024/04/24 20:35:50.642, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.59 W
2024/04/24 20:35:51.643, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.66 W
2024/04/24 20:35:52.644, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.78 W
2024/04/24 20:35:53.644, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 166.59 W
2024/04/24 20:35:54.645, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.93 W
2024/04/24 20:35:55.647, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 164.19 W
2024/04/24 20:35:56.648, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.51 W
2024/04/24 20:35:57.649, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 91 %, 164.28 W
2024/04/24 20:35:58.649, NVIDIA GeForce RTX 4090, P2, 57, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.87 W
2024/04/24 20:35:59.650, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 166.17 W
2024/04/24 20:36:00.651, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 169.01 W
2024/04/24 20:36:01.651, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.82 W
2024/04/24 20:36:02.652, NVIDIA GeForce RTX 4090, P2, 58, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 88 %, 163.95 W
2024/04/24 20:36:03.652, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.58 W
2024/04/24 20:36:04.653, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.65 W
2024/04/24 20:36:05.654, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.51 W
2024/04/24 20:36:06.654, NVIDIA GeForce RTX 4090, P2, 59, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.31 W
2024/04/24 20:36:07.655, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.33 W
2024/04/24 20:36:08.655, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 167.26 W
2024/04/24 20:36:09.656, NVIDIA GeForce RTX 4090, P2, 56, 24564 MiB, 22550 MiB, 1667 MiB, 18 %, 89 %, 163.38 W
2024/04/24 20:36:10.657, NVIDIA GeForce RTX 4090, P2, 60, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 163.67 W
2024/04/24 20:36:11.657, NVIDIA GeForce RTX 4090, P2, 55, 24564 MiB, 22550 MiB, 1667 MiB, 19 %, 90 %, 168.68 W
