timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/25 04:06:31.849, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 78.92 W
2024/04/25 04:06:31.855, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.76 W
2024/04/25 04:06:31.861, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.18 W
2024/04/25 04:06:31.867, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.13 W
2024/04/25 04:06:32.875, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.50 W
2024/04/25 04:06:32.875, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.88 W
2024/04/25 04:06:32.875, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.28 W
2024/04/25 04:06:32.876, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.25 W
2024/04/25 04:06:33.876, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.10 W
2024/04/25 04:06:33.876, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.52 W
2024/04/25 04:06:33.876, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.92 W
2024/04/25 04:06:33.877, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.71 W
2024/04/25 04:06:34.879, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 72.93 W
2024/04/25 04:06:35.256, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.88 W
2024/04/25 04:06:35.256, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.08 W
2024/04/25 04:06:35.258, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.21 W
2024/04/25 04:06:36.260, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 75056 MiB, 5981 MiB, 5 %, 84 %, 107.60 W
2024/04/25 04:06:36.260, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.94 W
2024/04/25 04:06:36.260, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.28 W
2024/04/25 04:06:36.261, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.02 W
2024/04/25 04:06:37.262, NVIDIA A100 80GB PCIe, P0, 50, 81920 MiB, 69556 MiB, 11481 MiB, 0 %, 22 %, 78.94 W
2024/04/25 04:06:37.262, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.56 W
2024/04/25 04:06:37.262, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.12 W
2024/04/25 04:06:37.263, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.14 W
2024/04/25 04:06:38.263, NVIDIA A100 80GB PCIe, P0, 54, 81920 MiB, 69380 MiB, 11657 MiB, 22 %, 100 %, 298.90 W
2024/04/25 04:06:38.263, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 66.72 W
2024/04/25 04:06:38.263, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 54.44 W
2024/04/25 04:06:38.459, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.86 W
2024/04/25 04:06:39.757, NVIDIA A100 80GB PCIe, P0, 54, 81920 MiB, 69380 MiB, 11657 MiB, 22 %, 100 %, 300.68 W
2024/04/25 04:06:39.757, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.76 W
2024/04/25 04:06:39.757, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.22 W
2024/04/25 04:06:39.758, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.99 W
2024/04/25 04:06:40.758, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 69380 MiB, 11657 MiB, 22 %, 100 %, 319.54 W
2024/04/25 04:06:40.759, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.54 W
2024/04/25 04:06:40.759, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.28 W
