timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/25 03:29:05.079, NVIDIA A100 80GB PCIe, P0, 53, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 81.38 W
2024/04/25 03:29:05.088, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.43 W
2024/04/25 03:29:05.095, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.01 W
2024/04/25 03:29:05.104, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.15 W
2024/04/25 03:29:06.112, NVIDIA A100 80GB PCIe, P0, 53, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 81.89 W
2024/04/25 03:29:06.112, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.36 W
2024/04/25 03:29:06.113, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.81 W
2024/04/25 03:29:06.174, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.02 W
2024/04/25 03:29:07.516, NVIDIA A100 80GB PCIe, P0, 52, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 58.98 W
2024/04/25 03:29:07.516, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.59 W
2024/04/25 03:29:07.516, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.27 W
2024/04/25 03:29:07.516, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.13 W
2024/04/25 03:29:08.517, NVIDIA A100 80GB PCIe, P0, 52, 81920 MiB, 77567 MiB, 3470 MiB, 0 %, 22 %, 82.32 W
2024/04/25 03:29:08.517, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.51 W
2024/04/25 03:29:08.517, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.24 W
2024/04/25 03:29:08.519, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.80 W
2024/04/25 03:29:09.519, NVIDIA A100 80GB PCIe, P0, 52, 81920 MiB, 77519 MiB, 3518 MiB, 0 %, 0 %, 81.22 W
2024/04/25 03:29:09.523, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.88 W
