timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 15:24:17.604, NVIDIA A100 80GB PCIe, P0, 33, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.65 W
2024/05/02 15:24:17.615, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.95 W
2024/05/02 15:24:17.625, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.92 W
2024/05/02 15:24:17.633, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.13 W
2024/05/02 15:24:17.740, NVIDIA A100 80GB PCIe, P0, 33, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.65 W
2024/05/02 15:24:17.741, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.96 W
2024/05/02 15:24:17.741, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.04 W
2024/05/02 15:24:17.742, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.13 W
2024/05/02 15:24:17.844, NVIDIA A100 80GB PCIe, P0, 33, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.65 W
2024/05/02 15:24:17.844, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.95 W
2024/05/02 15:24:17.844, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.85 W
2024/05/02 15:24:17.846, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.92 W
2024/05/02 15:24:17.947, NVIDIA A100 80GB PCIe, P0, 33, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.76 W
2024/05/02 15:24:17.948, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.96 W
2024/05/02 15:24:17.948, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.85 W
2024/05/02 15:24:17.949, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.02 W
2024/05/02 15:24:18.051, NVIDIA A100 80GB PCIe, P0, 33, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.76 W
