timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 03:40:09.269, NVIDIA A100 80GB PCIe, P0, 46, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 78.03 W
2024/05/02 03:40:09.276, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.57 W
2024/05/02 03:40:09.282, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.56 W
2024/05/02 03:40:09.287, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.86 W
2024/05/02 03:40:10.294, NVIDIA A100 80GB PCIe, P0, 45, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 56.81 W
2024/05/02 03:40:10.294, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.43 W
2024/05/02 03:40:10.294, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.77 W
2024/05/02 03:40:10.294, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.05 W
2024/05/02 03:40:11.294, NVIDIA A100 80GB PCIe, P0, 45, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 56.43 W
2024/05/02 03:40:11.368, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.45 W
2024/05/02 03:40:11.702, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.81 W
2024/05/02 03:40:12.004, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.11 W
2024/05/02 03:40:13.333, NVIDIA A100 80GB PCIe, P0, 45, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.59 W
2024/05/02 03:40:13.333, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.78 W
2024/05/02 03:40:13.333, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.64 W
2024/05/02 03:40:13.334, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.15 W
2024/05/02 03:40:14.334, NVIDIA A100 80GB PCIe, P0, 44, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 56.12 W
2024/05/02 03:40:14.334, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.55 W
2024/05/02 03:40:14.334, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.91 W
2024/05/02 03:40:14.336, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.81 W
2024/05/02 03:40:15.339, NVIDIA A100 80GB PCIe, P0, 45, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.16 W
2024/05/02 03:40:15.339, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.10 W
2024/05/02 03:40:15.339, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.72 W
2024/05/02 03:40:15.502, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.01 W
2024/05/02 03:40:16.804, NVIDIA A100 80GB PCIe, P0, 44, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 56.21 W
2024/05/02 03:40:16.804, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/05/02 03:40:16.804, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.86 W
2024/05/02 03:40:16.805, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.94 W
2024/05/02 03:40:17.806, NVIDIA A100 80GB PCIe, P0, 44, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.93 W
2024/05/02 03:40:17.806, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.25 W
2024/05/02 03:40:17.806, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.92 W
2024/05/02 03:40:17.806, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.42 W
2024/05/02 03:40:18.807, NVIDIA A100 80GB PCIe, P0, 44, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.18 W
2024/05/02 03:40:18.964, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.86 W
2024/05/02 03:40:19.308, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.38 W
2024/05/02 03:40:19.309, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.00 W
2024/05/02 03:40:20.310, NVIDIA A100 80GB PCIe, P0, 44, 81920 MiB, 69461 MiB, 11576 MiB, 1 %, 60 %, 80.31 W
2024/05/02 03:40:20.310, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.86 W
2024/05/02 03:40:20.310, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.74 W
2024/05/02 03:40:20.311, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.94 W
2024/05/02 03:40:21.312, NVIDIA A100 80GB PCIe, P0, 46, 81920 MiB, 68747 MiB, 12290 MiB, 40 %, 75 %, 184.01 W
2024/05/02 03:40:21.312, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.30 W
2024/05/02 03:40:21.312, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.21 W
2024/05/02 03:40:21.313, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.70 W
2024/05/02 03:40:22.313, NVIDIA A100 80GB PCIe, P0, 44, 81920 MiB, 68735 MiB, 12302 MiB, 0 %, 0 %, 77.06 W
2024/05/02 03:40:22.358, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.86 W
2024/05/02 03:40:22.358, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.81 W
2024/05/02 03:40:22.359, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.01 W
2024/05/02 03:40:23.689, NVIDIA A100 80GB PCIe, P0, 45, 81920 MiB, 68689 MiB, 12348 MiB, 21 %, 40 %, 76.65 W
2024/05/02 03:40:23.689, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.86 W
2024/05/02 03:40:23.689, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.84 W
2024/05/02 03:40:23.689, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.04 W
2024/05/02 03:40:24.690, NVIDIA A100 80GB PCIe, P0, 47, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 76 %, 188.72 W
2024/05/02 03:40:24.690, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.21 W
2024/05/02 03:40:24.690, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.90 W
2024/05/02 03:40:24.692, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.30 W
2024/05/02 03:40:25.693, NVIDIA A100 80GB PCIe, P0, 47, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 75 %, 185.46 W
2024/05/02 03:40:25.693, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.93 W
2024/05/02 03:40:25.693, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.92 W
2024/05/02 03:40:25.851, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.91 W
2024/05/02 03:40:27.196, NVIDIA A100 80GB PCIe, P0, 47, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 75 %, 185.42 W
2024/05/02 03:40:27.196, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.70 W
2024/05/02 03:40:27.196, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.74 W
2024/05/02 03:40:27.197, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.43 W
2024/05/02 03:40:28.198, NVIDIA A100 80GB PCIe, P0, 47, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 76 %, 185.97 W
2024/05/02 03:40:28.198, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.09 W
2024/05/02 03:40:28.198, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.00 W
2024/05/02 03:40:28.199, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.21 W
2024/05/02 03:40:29.200, NVIDIA A100 80GB PCIe, P0, 47, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 75 %, 183.48 W
2024/05/02 03:40:29.200, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.13 W
2024/05/02 03:40:29.200, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.81 W
2024/05/02 03:40:29.400, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.01 W
2024/05/02 03:40:30.733, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 76 %, 182.55 W
2024/05/02 03:40:30.734, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.81 W
2024/05/02 03:40:30.734, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.72 W
2024/05/02 03:40:30.734, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.02 W
2024/05/02 03:40:31.734, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 75 %, 184.43 W
2024/05/02 03:40:31.735, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.39 W
2024/05/02 03:40:31.735, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.02 W
2024/05/02 03:40:31.736, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.50 W
2024/05/02 03:40:32.737, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 68689 MiB, 12348 MiB, 40 %, 75 %, 188.78 W
2024/05/02 03:40:32.738, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.93 W
