timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 04:33:11.938, NVIDIA A100 80GB PCIe, P0, 65, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 99.86 W
2024/05/02 04:33:12.004, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.53 W
2024/05/02 04:33:12.012, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.83 W
2024/05/02 04:33:12.021, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.02 W
2024/05/02 04:33:13.030, NVIDIA A100 80GB PCIe, P0, 64, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 64.82 W
2024/05/02 04:33:13.030, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.24 W
2024/05/02 04:33:13.030, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.83 W
2024/05/02 04:33:13.030, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.11 W
2024/05/02 04:33:14.030, NVIDIA A100 80GB PCIe, P0, 63, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 64.03 W
2024/05/02 04:33:14.031, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.23 W
2024/05/02 04:33:14.031, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.92 W
2024/05/02 04:33:14.032, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.11 W
2024/05/02 04:33:15.032, NVIDIA A100 80GB PCIe, P0, 63, 81920 MiB, 80976 MiB, 61 MiB, 0 %, 0 %, 96.91 W
2024/05/02 04:33:15.033, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.53 W
2024/05/02 04:33:15.034, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.92 W
2024/05/02 04:33:15.034, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.03 W
2024/05/02 04:33:16.034, NVIDIA A100 80GB PCIe, P0, 63, 81920 MiB, 71981 MiB, 9056 MiB, 4 %, 69 %, 94.43 W
2024/05/02 04:33:16.035, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.23 W
2024/05/02 04:33:16.035, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.92 W
2024/05/02 04:33:16.036, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.01 W
2024/05/02 04:33:17.037, NVIDIA A100 80GB PCIe, P0, 68, 81920 MiB, 71309 MiB, 9728 MiB, 22 %, 100 %, 301.21 W
2024/05/02 04:33:17.038, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.55 W
2024/05/02 04:33:17.038, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.80 W
2024/05/02 04:33:17.039, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.08 W
2024/05/02 04:33:18.040, NVIDIA A100 80GB PCIe, P0, 68, 81920 MiB, 71309 MiB, 9728 MiB, 22 %, 100 %, 295.95 W
2024/05/02 04:33:18.040, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.47 W
2024/05/02 04:33:18.040, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.81 W
2024/05/02 04:33:18.041, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.99 W
2024/05/02 04:33:19.043, NVIDIA A100 80GB PCIe, P0, 68, 81920 MiB, 71309 MiB, 9728 MiB, 21 %, 100 %, 297.51 W
2024/05/02 04:33:19.043, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.37 W
2024/05/02 04:33:19.043, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.92 W
2024/05/02 04:33:19.043, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.30 W
2024/05/02 04:33:20.044, NVIDIA A100 80GB PCIe, P0, 68, 81920 MiB, 71309 MiB, 9728 MiB, 21 %, 100 %, 302.53 W
2024/05/02 04:33:20.044, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.28 W
2024/05/02 04:33:20.044, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.90 W
2024/05/02 04:33:20.044, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.98 W
2024/05/02 04:33:21.045, NVIDIA A100 80GB PCIe, P0, 68, 81920 MiB, 71309 MiB, 9728 MiB, 22 %, 100 %, 292.64 W
2024/05/02 04:33:21.045, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.19 W
2024/05/02 04:33:21.045, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.80 W
2024/05/02 04:33:21.047, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.28 W
2024/05/02 04:33:22.049, NVIDIA A100 80GB PCIe, P0, 68, 81920 MiB, 66478 MiB, 14559 MiB, 22 %, 100 %, 291.34 W
2024/05/02 04:33:22.049, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.34 W
2024/05/02 04:33:22.049, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.70 W
2024/05/02 04:33:22.049, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.89 W
2024/05/02 04:33:23.050, NVIDIA A100 80GB PCIe, P0, 65, 81920 MiB, 52220 MiB, 28817 MiB, 4 %, 16 %, 206.55 W
2024/05/02 04:33:23.050, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.18 W
