timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 03:29:52.811, NVIDIA A100 80GB PCIe, P0, 66, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 94.79 W
2024/05/02 03:29:52.817, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.36 W
2024/05/02 03:29:52.825, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.76 W
2024/05/02 03:29:52.831, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 67.78 W
2024/05/02 03:29:53.836, NVIDIA A100 80GB PCIe, P0, 65, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 65.37 W
2024/05/02 03:29:53.837, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.57 W
2024/05/02 03:29:53.837, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.35 W
2024/05/02 03:29:53.837, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.84 W
2024/05/02 03:29:54.837, NVIDIA A100 80GB PCIe, P0, 64, 81920 MiB, 81023 MiB, 13 MiB, 0 %, 0 %, 64.52 W
2024/05/02 03:29:54.840, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.93 W
2024/05/02 03:29:54.840, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.04 W
2024/05/02 03:29:54.845, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.32 W
2024/05/02 03:29:55.847, NVIDIA A100 80GB PCIe, P0, 64, 81920 MiB, 81003 MiB, 34 MiB, 0 %, 0 %, 93.25 W
2024/05/02 03:29:55.906, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.07 W
2024/05/02 03:29:56.215, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.45 W
2024/05/02 03:29:56.220, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 67.72 W
2024/05/02 03:29:57.222, NVIDIA A100 80GB PCIe, P0, 67, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 88 %, 129.30 W
2024/05/02 03:29:57.222, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.28 W
2024/05/02 03:29:57.222, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.68 W
2024/05/02 03:29:57.222, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.82 W
2024/05/02 03:29:58.224, NVIDIA A100 80GB PCIe, P0, 65, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 88 %, 217.84 W
2024/05/02 03:29:58.224, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.76 W
2024/05/02 03:29:58.224, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.95 W
2024/05/02 03:29:58.225, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.86 W
2024/05/02 03:29:59.226, NVIDIA A100 80GB PCIe, P0, 65, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 88 %, 234.97 W
2024/05/02 03:29:59.226, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.94 W
2024/05/02 03:29:59.226, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.72 W
2024/05/02 03:29:59.330, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.81 W
2024/05/02 03:30:00.643, NVIDIA A100 80GB PCIe, P0, 65, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 85 %, 129.41 W
2024/05/02 03:30:00.643, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.91 W
2024/05/02 03:30:00.643, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.67 W
2024/05/02 03:30:00.644, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.72 W
2024/05/02 03:30:01.644, NVIDIA A100 80GB PCIe, P0, 66, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 88 %, 128.46 W
