timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 17:27:53.695, NVIDIA RTX A6000, P3, 65, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 51.29 W
2024/05/07 17:27:53.697, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.56 W
2024/05/07 17:27:53.699, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 24.73 W
2024/05/07 17:27:53.700, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.09 W
2024/05/07 17:27:53.702, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.95 W
2024/05/07 17:27:54.190, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.46 W
2024/05/07 17:27:54.486, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.03 W
2024/05/07 17:27:54.489, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.16 W
2024/05/07 17:27:55.493, NVIDIA RTX A6000, P5, 63, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 39.66 W
2024/05/07 17:27:55.495, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.13 W
2024/05/07 17:27:55.497, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.47 W
2024/05/07 17:27:55.499, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.26 W
2024/05/07 17:27:55.501, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.69 W
2024/05/07 17:27:55.503, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.42 W
2024/05/07 17:27:55.504, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 24.33 W
2024/05/07 17:27:55.506, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.24 W
2024/05/07 17:27:56.508, NVIDIA RTX A6000, P8, 63, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 31.48 W
2024/05/07 17:27:56.508, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.92 W
2024/05/07 17:27:56.509, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.77 W
2024/05/07 17:27:56.511, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.22 W
2024/05/07 17:27:56.513, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.44 W
2024/05/07 17:27:56.515, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.45 W
2024/05/07 17:27:56.516, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.31 W
2024/05/07 17:27:56.518, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.14 W
2024/05/07 17:27:57.520, NVIDIA RTX A6000, P8, 62, 49140 MiB, 48633 MiB, 43 MiB, 0 %, 0 %, 20.68 W
2024/05/07 17:27:57.520, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.98 W
2024/05/07 17:27:57.521, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.66 W
2024/05/07 17:27:57.522, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.21 W
2024/05/07 17:27:57.524, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.86 W
2024/05/07 17:27:57.526, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.34 W
2024/05/07 17:27:57.528, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.86 W
2024/05/07 17:27:57.530, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.31 W
2024/05/07 17:27:58.532, NVIDIA RTX A6000, P2, 63, 49140 MiB, 46992 MiB, 1684 MiB, 0 %, 0 %, 75.00 W
2024/05/07 17:27:58.533, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.09 W
