timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 17:37:58.515, NVIDIA RTX A6000, P3, 70, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 99.94 W
2024/05/07 17:37:58.516, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.72 W
2024/05/07 17:37:58.517, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.61 W
2024/05/07 17:37:58.518, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.97 W
2024/05/07 17:37:58.519, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.84 W
2024/05/07 17:37:58.520, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.55 W
2024/05/07 17:37:58.521, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.01 W
2024/05/07 17:37:58.522, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.85 W
2024/05/07 17:37:59.523, NVIDIA RTX A6000, P3, 69, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 63.06 W
2024/05/07 17:37:59.524, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.83 W
2024/05/07 17:37:59.524, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.75 W
2024/05/07 17:37:59.525, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.33 W
2024/05/07 17:37:59.525, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.15 W
2024/05/07 17:37:59.526, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.09 W
2024/05/07 17:37:59.526, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.00 W
2024/05/07 17:37:59.527, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.11 W
2024/05/07 17:38:00.528, NVIDIA RTX A6000, P5, 69, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 56.02 W
2024/05/07 17:38:00.528, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.54 W
2024/05/07 17:38:00.529, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.97 W
