timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/07 17:32:59.409, NVIDIA RTX A6000, P3, 70, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 67.25 W
2024/05/07 17:32:59.410, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.77 W
2024/05/07 17:32:59.411, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.32 W
2024/05/07 17:32:59.412, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 28.03 W
2024/05/07 17:32:59.413, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.08 W
2024/05/07 17:32:59.414, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.20 W
2024/05/07 17:32:59.415, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.90 W
2024/05/07 17:32:59.415, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.61 W
2024/05/07 17:33:00.416, NVIDIA RTX A6000, P3, 69, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 58.34 W
2024/05/07 17:33:00.607, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.93 W
2024/05/07 17:33:00.820, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.37 W
2024/05/07 17:33:00.822, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.15 W
2024/05/07 17:33:00.824, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.03 W
2024/05/07 17:33:00.826, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.36 W
2024/05/07 17:33:00.827, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 24.80 W
2024/05/07 17:33:00.828, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.31 W
2024/05/07 17:33:01.830, NVIDIA RTX A6000, P5, 69, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 38.32 W
2024/05/07 17:33:01.832, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.38 W
2024/05/07 17:33:01.835, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.74 W
2024/05/07 17:33:01.836, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.21 W
2024/05/07 17:33:01.838, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.04 W
2024/05/07 17:33:01.839, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.45 W
2024/05/07 17:33:01.840, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.91 W
2024/05/07 17:33:01.841, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.85 W
2024/05/07 17:33:02.842, NVIDIA RTX A6000, P8, 67, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 25.09 W
2024/05/07 17:33:02.845, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.70 W
2024/05/07 17:33:02.847, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 25.33 W
2024/05/07 17:33:02.848, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.28 W
2024/05/07 17:33:02.849, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.08 W
2024/05/07 17:33:02.851, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.35 W
2024/05/07 17:33:02.852, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.52 W
2024/05/07 17:33:02.853, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.63 W
2024/05/07 17:33:03.854, NVIDIA RTX A6000, P8, 66, 49140 MiB, 48633 MiB, 43 MiB, 0 %, 0 %, 21.07 W
2024/05/07 17:33:03.873, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.49 W
2024/05/07 17:33:03.875, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.02 W
2024/05/07 17:33:03.884, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.21 W
2024/05/07 17:33:03.886, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.91 W
2024/05/07 17:33:03.889, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.33 W
2024/05/07 17:33:03.890, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.86 W
2024/05/07 17:33:03.891, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.61 W
2024/05/07 17:33:04.892, NVIDIA RTX A6000, P2, 70, 49140 MiB, 47144 MiB, 1532 MiB, 9 %, 38 %, 87.72 W
2024/05/07 17:33:04.901, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.90 W
2024/05/07 17:33:04.903, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.06 W
2024/05/07 17:33:04.905, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.17 W
2024/05/07 17:33:04.906, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.33 W
2024/05/07 17:33:04.907, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.49 W
2024/05/07 17:33:04.907, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.78 W
2024/05/07 17:33:04.908, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.69 W
2024/05/07 17:33:05.909, NVIDIA RTX A6000, P2, 67, 49140 MiB, 47142 MiB, 1534 MiB, 0 %, 0 %, 112.13 W
2024/05/07 17:33:05.988, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.78 W
2024/05/07 17:33:06.085, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.14 W
2024/05/07 17:33:06.087, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 32.11 W
2024/05/07 17:33:06.088, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.61 W
2024/05/07 17:33:06.090, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.31 W
2024/05/07 17:33:06.190, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.94 W
2024/05/07 17:33:06.387, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.32 W
2024/05/07 17:33:07.593, NVIDIA RTX A6000, P2, 66, 49140 MiB, 47142 MiB, 1534 MiB, 0 %, 0 %, 94.90 W
