timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/30 02:36:39.491, NVIDIA RTX A6000, P3, 67, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 92.99 W
2024/04/30 02:36:39.492, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.60 W
2024/04/30 02:36:39.493, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.80 W
2024/04/30 02:36:39.494, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 31.20 W
2024/04/30 02:36:39.495, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.67 W
2024/04/30 02:36:39.496, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.41 W
2024/04/30 02:36:39.497, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.80 W
2024/04/30 02:36:39.499, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.45 W
2024/04/30 02:36:40.500, NVIDIA RTX A6000, P3, 66, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 72.22 W
2024/04/30 02:36:40.500, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.30 W
2024/04/30 02:36:40.501, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.52 W
2024/04/30 02:36:40.502, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.83 W
2024/04/30 02:36:40.502, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.34 W
2024/04/30 02:36:40.503, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.49 W
2024/04/30 02:36:40.503, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.90 W
2024/04/30 02:36:40.504, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.38 W
2024/04/30 02:36:41.505, NVIDIA RTX A6000, P3, 65, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 50.69 W
2024/04/30 02:36:41.506, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.18 W
2024/04/30 02:36:41.506, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.49 W
2024/04/30 02:36:41.507, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.17 W
2024/04/30 02:36:41.508, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.67 W
2024/04/30 02:36:41.508, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.02 W
2024/04/30 02:36:41.509, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.77 W
2024/04/30 02:36:41.509, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.35 W
2024/04/30 02:36:42.510, NVIDIA RTX A6000, P5, 65, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 48.69 W
2024/04/30 02:36:42.511, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.21 W
