timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/30 02:31:13.602, NVIDIA RTX A6000, P3, 58, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 70.26 W
2024/04/30 02:31:13.603, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.16 W
2024/04/30 02:31:13.604, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.56 W
2024/04/30 02:31:13.605, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 31.69 W
2024/04/30 02:31:13.606, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.37 W
2024/04/30 02:31:13.606, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.45 W
2024/04/30 02:31:13.607, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.55 W
2024/04/30 02:31:13.608, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.24 W
2024/04/30 02:31:14.609, NVIDIA RTX A6000, P5, 58, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 55.03 W
2024/04/30 02:31:14.610, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.37 W
2024/04/30 02:31:14.611, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.60 W
2024/04/30 02:31:14.611, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.71 W
2024/04/30 02:31:14.612, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.01 W
2024/04/30 02:31:14.612, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 25.44 W
2024/04/30 02:31:14.613, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.59 W
2024/04/30 02:31:14.613, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.35 W
2024/04/30 02:31:15.614, NVIDIA RTX A6000, P5, 57, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 31.90 W
2024/04/30 02:31:15.615, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.23 W
2024/04/30 02:31:15.616, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.41 W
2024/04/30 02:31:15.616, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.08 W
2024/04/30 02:31:15.617, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.20 W
2024/04/30 02:31:15.617, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 19.04 W
2024/04/30 02:31:15.618, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.91 W
2024/04/30 02:31:15.619, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.44 W
2024/04/30 02:31:16.619, NVIDIA RTX A6000, P8, 57, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.08 W
2024/04/30 02:31:16.620, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.90 W
2024/04/30 02:31:16.621, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.38 W
2024/04/30 02:31:16.621, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.90 W
2024/04/30 02:31:16.622, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.98 W
2024/04/30 02:31:16.622, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.79 W
2024/04/30 02:31:16.623, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.73 W
2024/04/30 02:31:16.623, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.45 W
