timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/29 20:09:32.813, NVIDIA RTX A6000, P3, 70, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 100.29 W
2024/04/29 20:09:32.814, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 23.71 W
2024/04/29 20:09:32.815, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.58 W
2024/04/29 20:09:32.816, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 1 %, 27.14 W
2024/04/29 20:09:32.817, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.55 W
2024/04/29 20:09:32.818, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.59 W
2024/04/29 20:09:32.819, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.90 W
2024/04/29 20:09:32.820, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.43 W
2024/04/29 20:09:33.821, NVIDIA RTX A6000, P3, 68, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 73.21 W
2024/04/29 20:09:33.822, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.90 W
2024/04/29 20:09:33.822, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.53 W
2024/04/29 20:09:33.823, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 32.19 W
2024/04/29 20:09:33.824, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.92 W
2024/04/29 20:09:33.824, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.65 W
2024/04/29 20:09:33.825, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.70 W
2024/04/29 20:09:33.825, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.23 W
2024/04/29 20:09:34.826, NVIDIA RTX A6000, P5, 67, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 52.46 W
2024/04/29 20:09:34.827, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 22.26 W
2024/04/29 20:09:34.827, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.51 W
2024/04/29 20:09:34.828, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 28.01 W
