timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/30 03:09:34.271, NVIDIA RTX A6000, P3, 70, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 95.41 W
2024/04/30 03:09:34.272, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.26 W
2024/04/30 03:09:34.273, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 25.28 W
2024/04/30 03:09:34.274, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.92 W
2024/04/30 03:09:34.275, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.08 W
2024/04/30 03:09:34.276, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 25.96 W
2024/04/30 03:09:34.277, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.13 W
2024/04/30 03:09:34.277, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.65 W
2024/04/30 03:09:35.278, NVIDIA RTX A6000, P5, 69, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 41.12 W
2024/04/30 03:09:35.279, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.30 W
2024/04/30 03:09:35.280, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.18 W
2024/04/30 03:09:35.281, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.96 W
2024/04/30 03:09:35.281, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.61 W
2024/04/30 03:09:35.282, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.44 W
2024/04/30 03:09:35.283, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.31 W
2024/04/30 03:09:35.283, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.27 W
2024/04/30 03:09:36.284, NVIDIA RTX A6000, P5, 69, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 34.65 W
2024/04/30 03:09:36.285, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.32 W
2024/04/30 03:09:36.286, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.90 W
2024/04/30 03:09:36.286, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.94 W
2024/04/30 03:09:36.287, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.99 W
2024/04/30 03:09:36.288, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.49 W
2024/04/30 03:09:36.288, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 24.27 W
2024/04/30 03:09:36.289, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 30.01 W
2024/04/30 03:09:37.290, NVIDIA RTX A6000, P8, 68, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.51 W
2024/04/30 03:09:37.291, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.25 W
2024/04/30 03:09:37.291, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.46 W
2024/04/30 03:09:37.292, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.94 W
2024/04/30 03:09:37.293, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.90 W
2024/04/30 03:09:37.293, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.31 W
2024/04/30 03:09:37.294, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.39 W
2024/04/30 03:09:37.295, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.48 W
2024/04/30 03:09:38.296, NVIDIA RTX A6000, P2, 68, 49140 MiB, 46781 MiB, 1895 MiB, 0 %, 3 %, 30.19 W
2024/04/30 03:09:38.297, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.07 W
2024/04/30 03:09:38.297, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.43 W
2024/04/30 03:09:38.298, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.28 W
2024/04/30 03:09:38.299, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.85 W
2024/04/30 03:09:38.299, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.28 W
2024/04/30 03:09:38.300, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 23.17 W
