timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/30 02:58:17.005, NVIDIA RTX A6000, P3, 66, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 96.24 W
2024/04/30 02:58:17.006, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.27 W
2024/04/30 02:58:17.007, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.17 W
2024/04/30 02:58:17.008, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.21 W
2024/04/30 02:58:17.009, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.04 W
2024/04/30 02:58:17.010, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.32 W
2024/04/30 02:58:17.011, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.99 W
2024/04/30 02:58:17.012, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.74 W
2024/04/30 02:58:18.013, NVIDIA RTX A6000, P3, 65, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 73.72 W
2024/04/30 02:58:18.014, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.55 W
2024/04/30 02:58:18.014, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 15.99 W
2024/04/30 02:58:18.017, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.99 W
2024/04/30 02:58:18.018, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.99 W
2024/04/30 02:58:18.018, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.30 W
2024/04/30 02:58:18.019, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.04 W
2024/04/30 02:58:18.019, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 30.15 W
