timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 03:55:56.555, NVIDIA A100 80GB PCIe, P0, 50, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 80.50 W
2024/05/02 03:55:56.561, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.76 W
2024/05/02 03:55:56.567, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.57 W
2024/05/02 03:55:56.573, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 54.28 W
2024/05/02 03:55:57.580, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.89 W
2024/05/02 03:55:57.580, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/05/02 03:55:57.580, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.67 W
2024/05/02 03:55:57.581, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.94 W
2024/05/02 03:55:58.581, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.50 W
2024/05/02 03:55:58.581, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.43 W
2024/05/02 03:55:58.581, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.12 W
2024/05/02 03:55:58.582, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.51 W
2024/05/02 03:55:59.583, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 79.93 W
2024/05/02 03:55:59.713, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.57 W
2024/05/02 03:56:00.029, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.67 W
2024/05/02 03:56:00.032, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.12 W
2024/05/02 03:56:01.032, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 72975 MiB, 8062 MiB, 1 %, 46 %, 81.86 W
2024/05/02 03:56:01.033, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/05/02 03:56:01.033, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.45 W
2024/05/02 03:56:01.033, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.03 W
2024/05/02 03:56:02.034, NVIDIA A100 80GB PCIe, P0, 54, 81920 MiB, 71097 MiB, 9940 MiB, 22 %, 100 %, 317.34 W
2024/05/02 03:56:02.034, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.46 W
2024/05/02 03:56:02.034, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.09 W
2024/05/02 03:56:02.036, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 57.90 W
2024/05/02 03:56:03.036, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 71097 MiB, 9940 MiB, 22 %, 100 %, 311.42 W
2024/05/02 03:56:03.036, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/05/02 03:56:03.036, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.90 W
2024/05/02 03:56:03.201, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.17 W
2024/05/02 03:56:04.550, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 71097 MiB, 9940 MiB, 22 %, 100 %, 304.09 W
2024/05/02 03:56:04.550, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.47 W
2024/05/02 03:56:04.550, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.60 W
2024/05/02 03:56:04.550, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.90 W
2024/05/02 03:56:05.551, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 71097 MiB, 9940 MiB, 22 %, 100 %, 294.39 W
2024/05/02 03:56:05.551, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.45 W
2024/05/02 03:56:05.551, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.09 W
2024/05/02 03:56:05.552, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.57 W
2024/05/02 03:56:06.555, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 71097 MiB, 9940 MiB, 22 %, 100 %, 292.65 W
2024/05/02 03:56:06.555, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.25 W
2024/05/02 03:56:06.555, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.99 W
2024/05/02 03:56:06.795, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.98 W
2024/05/02 03:56:08.101, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 64255 MiB, 16782 MiB, 19 %, 100 %, 273.75 W
2024/05/02 03:56:08.101, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.02 W
2024/05/02 03:56:08.101, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.63 W
2024/05/02 03:56:08.101, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.02 W
2024/05/02 03:56:09.102, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 64255 MiB, 16782 MiB, 19 %, 100 %, 282.94 W
2024/05/02 03:56:09.102, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.17 W
2024/05/02 03:56:09.102, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.01 W
2024/05/02 03:56:09.103, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.80 W
2024/05/02 03:56:10.103, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 64255 MiB, 16782 MiB, 19 %, 100 %, 271.46 W
2024/05/02 03:56:10.104, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.23 W
2024/05/02 03:56:10.104, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.73 W
2024/05/02 03:56:10.246, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.88 W
2024/05/02 03:56:11.590, NVIDIA A100 80GB PCIe, P0, 57, 81920 MiB, 64255 MiB, 16782 MiB, 19 %, 100 %, 270.59 W
2024/05/02 03:56:11.590, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.79 W
2024/05/02 03:56:11.590, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.82 W
2024/05/02 03:56:11.590, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.11 W
2024/05/02 03:56:12.591, NVIDIA A100 80GB PCIe, P0, 57, 81920 MiB, 64255 MiB, 16782 MiB, 19 %, 100 %, 279.60 W
2024/05/02 03:56:12.591, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.17 W
2024/05/02 03:56:12.591, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.01 W
2024/05/02 03:56:12.591, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.68 W
2024/05/02 03:56:13.595, NVIDIA A100 80GB PCIe, P0, 57, 81920 MiB, 64255 MiB, 16782 MiB, 19 %, 100 %, 276.94 W
