timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 04:27:49.353, NVIDIA A100 80GB PCIe, P0, 64, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 93.05 W
2024/05/02 04:27:49.360, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.26 W
2024/05/02 04:27:49.368, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.02 W
2024/05/02 04:27:49.375, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.02 W
2024/05/02 04:27:50.385, NVIDIA A100 80GB PCIe, P0, 63, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 63.83 W
2024/05/02 04:27:50.386, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.44 W
2024/05/02 04:27:50.386, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.93 W
2024/05/02 04:27:50.386, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.02 W
2024/05/02 04:27:51.386, NVIDIA A100 80GB PCIe, P0, 62, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 63.44 W
2024/05/02 04:27:51.386, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.45 W
2024/05/02 04:27:51.387, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 41.93 W
2024/05/02 04:27:51.388, NVIDIA A100 80GB PCIe, P0, 27, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.02 W
