timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 03:45:28.798, NVIDIA A100 80GB PCIe, P0, 54, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 83.74 W
2024/05/02 03:45:28.805, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/05/02 03:45:28.812, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.95 W
2024/05/02 03:45:28.820, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.03 W
2024/05/02 03:45:29.827, NVIDIA A100 80GB PCIe, P0, 53, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 59.37 W
2024/05/02 03:45:29.827, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.02 W
2024/05/02 03:45:29.827, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.41 W
2024/05/02 03:45:29.828, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.96 W
2024/05/02 03:45:30.828, NVIDIA A100 80GB PCIe, P0, 53, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 83.40 W
2024/05/02 03:45:30.828, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.04 W
2024/05/02 03:45:30.924, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.81 W
2024/05/02 03:45:31.249, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.11 W
2024/05/02 03:45:32.580, NVIDIA A100 80GB PCIe, P0, 53, 81920 MiB, 77477 MiB, 3560 MiB, 6 %, 66 %, 83.43 W
2024/05/02 03:45:32.580, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.96 W
2024/05/02 03:45:32.580, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.56 W
2024/05/02 03:45:32.580, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.94 W
2024/05/02 03:45:33.581, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 77475 MiB, 3562 MiB, 11 %, 99 %, 241.23 W
2024/05/02 03:45:33.581, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.54 W
2024/05/02 03:45:33.581, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.98 W
2024/05/02 03:45:33.582, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 51.34 W
2024/05/02 03:45:34.583, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 77475 MiB, 3562 MiB, 11 %, 99 %, 142.20 W
2024/05/02 03:45:34.583, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.05 W
2024/05/02 03:45:34.583, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.83 W
2024/05/02 03:45:34.695, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.91 W
2024/05/02 03:45:36.017, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 77475 MiB, 3562 MiB, 11 %, 98 %, 141.99 W
2024/05/02 03:45:36.017, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.00 W
2024/05/02 03:45:36.017, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.73 W
2024/05/02 03:45:36.018, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.11 W
2024/05/02 03:45:37.018, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 77475 MiB, 3562 MiB, 11 %, 99 %, 143.55 W
2024/05/02 03:45:37.018, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.45 W
2024/05/02 03:45:37.018, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.80 W
2024/05/02 03:45:37.022, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 52.88 W
2024/05/02 03:45:38.023, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 77475 MiB, 3562 MiB, 11 %, 99 %, 196.11 W
