timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 03:35:01.322, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 78.74 W
2024/05/02 03:35:01.328, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/05/02 03:35:01.334, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.17 W
2024/05/02 03:35:01.340, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.17 W
2024/05/02 03:35:02.346, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.29 W
2024/05/02 03:35:02.346, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.68 W
2024/05/02 03:35:02.346, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.77 W
2024/05/02 03:35:02.347, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.25 W
2024/05/02 03:35:03.347, NVIDIA A100 80GB PCIe, P0, 47, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 56.83 W
2024/05/02 03:35:03.349, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.46 W
2024/05/02 03:35:03.349, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.04 W
2024/05/02 03:35:03.350, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.33 W
2024/05/02 03:35:04.351, NVIDIA A100 80GB PCIe, P0, 48, 81920 MiB, 81020 MiB, 16 MiB, 0 %, 0 %, 78.55 W
2024/05/02 03:35:04.460, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.55 W
2024/05/02 03:35:04.779, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.67 W
2024/05/02 03:35:04.781, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.12 W
2024/05/02 03:35:05.783, NVIDIA A100 80GB PCIe, P0, 49, 81920 MiB, 79189 MiB, 1848 MiB, 10 %, 75 %, 137.36 W
2024/05/02 03:35:05.783, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.23 W
2024/05/02 03:35:05.783, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.97 W
2024/05/02 03:35:05.783, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.02 W
