timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 04:01:18.014, NVIDIA A100 80GB PCIe, P0, 63, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 92.85 W
2024/05/02 04:01:18.020, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.07 W
2024/05/02 04:01:18.025, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.55 W
2024/05/02 04:01:18.031, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 66.00 W
2024/05/02 04:01:19.039, NVIDIA A100 80GB PCIe, P0, 62, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 63.90 W
2024/05/02 04:01:19.040, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.87 W
2024/05/02 04:01:19.040, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.56 W
2024/05/02 04:01:19.040, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.05 W
2024/05/02 04:01:20.040, NVIDIA A100 80GB PCIe, P0, 63, 81920 MiB, 79439 MiB, 1598 MiB, 0 %, 22 %, 95.47 W
2024/05/02 04:01:20.040, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.00 W
2024/05/02 04:01:20.042, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.12 W
2024/05/02 04:01:20.042, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.69 W
2024/05/02 04:01:21.044, NVIDIA A100 80GB PCIe, P0, 62, 81920 MiB, 79353 MiB, 1684 MiB, 0 %, 0 %, 91.36 W
2024/05/02 04:01:21.044, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.87 W
2024/05/02 04:01:21.044, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.41 W
2024/05/02 04:01:21.045, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.09 W
2024/05/02 04:01:22.394, NVIDIA A100 80GB PCIe, P0, 62, 81920 MiB, 79347 MiB, 1690 MiB, 0 %, 0 %, 91.07 W
2024/05/02 04:01:22.394, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.87 W
2024/05/02 04:01:22.394, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.66 W
2024/05/02 04:01:22.395, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.92 W
2024/05/02 04:01:23.396, NVIDIA A100 80GB PCIe, P0, 61, 81920 MiB, 79347 MiB, 1690 MiB, 0 %, 0 %, 90.97 W
2024/05/02 04:01:23.396, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 54.93 W
2024/05/02 04:01:23.396, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.12 W
2024/05/02 04:01:23.396, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.61 W
2024/05/02 04:01:24.397, NVIDIA A100 80GB PCIe, P0, 61, 81920 MiB, 79347 MiB, 1690 MiB, 0 %, 0 %, 89.79 W
2024/05/02 04:01:24.397, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.87 W
2024/05/02 04:01:24.397, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.61 W
2024/05/02 04:01:24.449, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.11 W
2024/05/02 04:01:25.796, NVIDIA A100 80GB PCIe, P0, 60, 81920 MiB, 79347 MiB, 1690 MiB, 0 %, 0 %, 89.19 W
2024/05/02 04:01:25.796, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.97 W
2024/05/02 04:01:25.796, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.97 W
2024/05/02 04:01:25.796, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.02 W
2024/05/02 04:01:26.797, NVIDIA A100 80GB PCIe, P0, 60, 81920 MiB, 68703 MiB, 12334 MiB, 1 %, 59 %, 91.78 W
2024/05/02 04:01:26.797, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.02 W
2024/05/02 04:01:26.797, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.22 W
2024/05/02 04:01:26.798, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.50 W
2024/05/02 04:01:27.801, NVIDIA A100 80GB PCIe, P0, 60, 81920 MiB, 67187 MiB, 13850 MiB, 0 %, 0 %, 88.50 W
2024/05/02 04:01:27.801, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.87 W
2024/05/02 04:01:27.801, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.90 W
2024/05/02 04:01:27.856, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.21 W
