timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/05/02 04:49:36.064, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 72.33 W
2024/05/02 04:49:36.071, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.28 W
2024/05/02 04:49:36.078, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.08 W
2024/05/02 04:49:36.085, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.37 W
2024/05/02 04:49:37.091, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.56 W
2024/05/02 04:49:37.091, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.65 W
2024/05/02 04:49:37.091, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.18 W
2024/05/02 04:49:37.092, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.47 W
2024/05/02 04:49:38.092, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 52.58 W
2024/05/02 04:49:38.237, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.06 W
2024/05/02 04:49:38.572, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.53 W
2024/05/02 04:49:38.877, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.51 W
2024/05/02 04:49:40.226, NVIDIA A100 80GB PCIe, P0, 34, 81920 MiB, 79309 MiB, 1728 MiB, 5 %, 55 %, 110.26 W
2024/05/02 04:49:40.226, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.88 W
2024/05/02 04:49:40.226, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.29 W
2024/05/02 04:49:40.226, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.38 W
2024/05/02 04:49:41.228, NVIDIA A100 80GB PCIe, P0, 34, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 89 %, 106.34 W
2024/05/02 04:49:41.228, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.22 W
2024/05/02 04:49:41.228, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.92 W
2024/05/02 04:49:41.230, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.41 W
2024/05/02 04:49:42.230, NVIDIA A100 80GB PCIe, P0, 35, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 88 %, 106.96 W
2024/05/02 04:49:42.230, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.44 W
2024/05/02 04:49:42.231, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.55 W
2024/05/02 04:49:42.406, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.63 W
2024/05/02 04:49:43.724, NVIDIA A100 80GB PCIe, P0, 35, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 89 %, 109.52 W
2024/05/02 04:49:43.724, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.48 W
2024/05/02 04:49:43.724, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.56 W
2024/05/02 04:49:43.725, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.56 W
2024/05/02 04:49:44.725, NVIDIA A100 80GB PCIe, P0, 35, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 88 %, 92.76 W
2024/05/02 04:49:44.726, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.05 W
2024/05/02 04:49:44.726, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.66 W
2024/05/02 04:49:44.726, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.18 W
2024/05/02 04:49:45.726, NVIDIA A100 80GB PCIe, P0, 35, 81920 MiB, 79307 MiB, 1730 MiB, 8 %, 87 %, 109.79 W
2024/05/02 04:49:45.727, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.55 W
2024/05/02 04:49:45.727, NVIDIA A100 80GB PCIe, P0, 29, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.35 W
2024/05/02 04:49:45.858, NVIDIA A100 80GB PCIe, P0, 28, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.67 W
