timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/25 03:39:34.616, NVIDIA A100 80GB PCIe, P0, 51, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 80.99 W
2024/04/25 03:39:34.622, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 77.05 W
2024/04/25 03:39:34.627, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.45 W
2024/04/25 03:39:34.633, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.44 W
2024/04/25 03:39:35.639, NVIDIA A100 80GB PCIe, P0, 51, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 58.30 W
2024/04/25 03:39:35.639, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.88 W
2024/04/25 03:39:35.639, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.47 W
2024/04/25 03:39:35.639, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.35 W
2024/04/25 03:39:36.640, NVIDIA A100 80GB PCIe, P0, 50, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 57.90 W
2024/04/25 03:39:36.640, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.43 W
2024/04/25 03:39:36.640, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.12 W
2024/04/25 03:39:36.641, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.71 W
2024/04/25 03:39:37.642, NVIDIA A100 80GB PCIe, P0, 50, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 80.42 W
2024/04/25 03:39:37.697, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.66 W
2024/04/25 03:39:38.009, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.16 W
2024/04/25 03:39:38.010, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.02 W
2024/04/25 03:39:39.013, NVIDIA A100 80GB PCIe, P0, 50, 81920 MiB, 72871 MiB, 8166 MiB, 1 %, 45 %, 81.07 W
2024/04/25 03:39:39.013, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.96 W
2024/04/25 03:39:39.013, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.47 W
2024/04/25 03:39:39.014, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.42 W
2024/04/25 03:39:40.014, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 71151 MiB, 9886 MiB, 22 %, 100 %, 310.72 W
2024/04/25 03:39:40.014, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.54 W
2024/04/25 03:39:40.014, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.08 W
2024/04/25 03:39:40.015, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.47 W
2024/04/25 03:39:41.017, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 71151 MiB, 9886 MiB, 22 %, 100 %, 317.40 W
2024/04/25 03:39:41.017, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 75.38 W
2024/04/25 03:39:41.017, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.59 W
2024/04/25 03:39:41.148, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.16 W
2024/04/25 03:39:42.449, NVIDIA A100 80GB PCIe, P0, 56, 81920 MiB, 71151 MiB, 9886 MiB, 22 %, 100 %, 299.08 W
2024/04/25 03:39:42.449, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.98 W
2024/04/25 03:39:42.449, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.31 W
2024/04/25 03:39:42.450, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.18 W
2024/04/25 03:39:43.451, NVIDIA A100 80GB PCIe, P0, 57, 81920 MiB, 71151 MiB, 9886 MiB, 22 %, 100 %, 300.16 W
2024/04/25 03:39:43.451, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.98 W
2024/04/25 03:39:43.452, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.99 W
2024/04/25 03:39:43.452, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.77 W
2024/04/25 03:39:44.452, NVIDIA A100 80GB PCIe, P0, 57, 81920 MiB, 71151 MiB, 9886 MiB, 22 %, 100 %, 291.83 W
2024/04/25 03:39:44.453, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 67.72 W
2024/04/25 03:39:44.453, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.69 W
2024/04/25 03:39:44.648, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 67.16 W
2024/04/25 03:39:45.990, NVIDIA A100 80GB PCIe, P0, 58, 81920 MiB, 64305 MiB, 16732 MiB, 22 %, 100 %, 303.03 W
2024/04/25 03:39:45.990, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.63 W
2024/04/25 03:39:45.990, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.20 W
2024/04/25 03:39:45.990, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.07 W
2024/04/25 03:39:46.992, NVIDIA A100 80GB PCIe, P0, 58, 81920 MiB, 64305 MiB, 16732 MiB, 22 %, 100 %, 293.25 W
2024/04/25 03:39:46.992, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.56 W
2024/04/25 03:39:46.992, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.90 W
2024/04/25 03:39:46.993, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.67 W
2024/04/25 03:39:47.993, NVIDIA A100 80GB PCIe, P0, 58, 81920 MiB, 64305 MiB, 16732 MiB, 22 %, 100 %, 305.27 W
2024/04/25 03:39:47.994, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 80.02 W
2024/04/25 03:39:47.994, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 66.18 W
2024/04/25 03:39:48.173, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 44.47 W
2024/04/25 03:39:49.481, NVIDIA A100 80GB PCIe, P0, 58, 81920 MiB, 64305 MiB, 16732 MiB, 22 %, 100 %, 284.62 W
2024/04/25 03:39:49.481, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.94 W
2024/04/25 03:39:49.481, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.23 W
2024/04/25 03:39:49.482, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 63.90 W
2024/04/25 03:39:50.483, NVIDIA A100 80GB PCIe, P0, 59, 81920 MiB, 64305 MiB, 16732 MiB, 22 %, 100 %, 301.36 W
2024/04/25 03:39:50.483, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 55.65 W
2024/04/25 03:39:50.483, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.38 W
2024/04/25 03:39:50.484, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 64.20 W
2024/04/25 03:39:51.486, NVIDIA A100 80GB PCIe, P0, 55, 81920 MiB, 64305 MiB, 16732 MiB, 6 %, 14 %, 83.87 W
2024/04/25 03:39:51.487, NVIDIA A100 80GB PCIe, P0, 31, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 63.92 W
2024/04/25 03:39:51.487, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 42.52 W
2024/04/25 03:39:51.701, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 43.69 W
2024/04/25 03:39:53.040, NVIDIA A100 80GB PCIe, P0, 58, 81920 MiB, 64305 MiB, 16732 MiB, 19 %, 100 %, 279.96 W
2024/04/25 03:39:53.041, NVIDIA A100 80GB PCIe, P0, 32, 81920 MiB, 81024 MiB, 13 MiB, 0 %, 0 %, 76.81 W
2024/04/25 03:39:53.041, NVIDIA A100 80GB PCIe, P0, 30, 81920 MiB, 81037 MiB, 0 MiB, [N/A], [N/A], 62.14 W
