timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/29 20:38:12.479, NVIDIA RTX A6000, P3, 67, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 97.55 W
2024/04/29 20:38:12.480, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.89 W
2024/04/29 20:38:12.481, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 24.77 W
2024/04/29 20:38:12.482, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.88 W
2024/04/29 20:38:12.483, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.77 W
2024/04/29 20:38:12.483, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.36 W
2024/04/29 20:38:12.484, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.01 W
2024/04/29 20:38:12.485, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.53 W
2024/04/29 20:38:13.486, NVIDIA RTX A6000, P5, 66, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 64.78 W
2024/04/29 20:38:13.487, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.82 W
2024/04/29 20:38:13.488, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 17.96 W
2024/04/29 20:38:13.488, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.27 W
2024/04/29 20:38:13.489, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.06 W
2024/04/29 20:38:13.490, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.40 W
