timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/29 19:58:58.647, NVIDIA RTX A6000, P3, 68, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 98.82 W
2024/04/29 19:58:58.648, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.14 W
2024/04/29 19:58:58.649, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 17.66 W
2024/04/29 19:58:58.650, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.95 W
2024/04/29 19:58:58.650, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.23 W
2024/04/29 19:58:58.651, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.55 W
2024/04/29 19:58:58.652, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.13 W
2024/04/29 19:58:58.653, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 29.37 W
2024/04/29 19:58:59.654, NVIDIA RTX A6000, P5, 66, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 63.40 W
2024/04/29 19:58:59.655, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 22.75 W
2024/04/29 19:58:59.656, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.62 W
2024/04/29 19:58:59.656, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 29.20 W
2024/04/29 19:58:59.657, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.83 W
2024/04/29 19:58:59.658, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.51 W
2024/04/29 19:58:59.658, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.96 W
2024/04/29 19:58:59.659, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.97 W
2024/04/29 19:59:00.660, NVIDIA RTX A6000, P8, 66, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 33.25 W
2024/04/29 19:59:00.660, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.94 W
2024/04/29 19:59:00.661, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.38 W
2024/04/29 19:59:00.662, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 31.97 W
2024/04/29 19:59:00.663, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.07 W
2024/04/29 19:59:00.663, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.44 W
2024/04/29 19:59:00.664, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.84 W
2024/04/29 19:59:00.665, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.65 W
2024/04/29 19:59:01.665, NVIDIA RTX A6000, P8, 66, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.90 W
2024/04/29 19:59:01.666, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 22.07 W
2024/04/29 19:59:01.667, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.30 W
2024/04/29 19:59:01.668, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.65 W
2024/04/29 19:59:01.668, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.76 W
2024/04/29 19:59:01.669, NVIDIA RTX A6000, P8, 25, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.49 W
2024/04/29 19:59:01.670, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.79 W
2024/04/29 19:59:01.670, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.59 W
2024/04/29 19:59:02.671, NVIDIA RTX A6000, P2, 66, 49140 MiB, 45753 MiB, 2923 MiB, 1 %, 30 %, 31.16 W
2024/04/29 19:59:02.672, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.30 W
2024/04/29 19:59:02.673, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.27 W
2024/04/29 19:59:02.673, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.14 W
2024/04/29 19:59:02.674, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.72 W
2024/04/29 19:59:02.675, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.68 W
2024/04/29 19:59:02.675, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.69 W
2024/04/29 19:59:02.676, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.55 W
2024/04/29 19:59:03.677, NVIDIA RTX A6000, P2, 66, 49140 MiB, 45531 MiB, 3145 MiB, 12 %, 48 %, 119.59 W
2024/04/29 19:59:03.678, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.11 W
2024/04/29 19:59:03.678, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 18.11 W
2024/04/29 19:59:03.679, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.01 W
2024/04/29 19:59:03.680, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.82 W
2024/04/29 19:59:03.681, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.18 W
