timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/29 19:50:40.153, NVIDIA RTX A6000, P3, 59, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 69.33 W
2024/04/29 19:50:40.154, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.60 W
2024/04/29 19:50:40.155, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 19.42 W
2024/04/29 19:50:40.156, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.21 W
2024/04/29 19:50:40.157, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.71 W
2024/04/29 19:50:40.158, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.58 W
2024/04/29 19:50:40.159, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.22 W
2024/04/29 19:50:40.159, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.37 W
2024/04/29 19:50:41.161, NVIDIA RTX A6000, P5, 58, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 56.76 W
2024/04/29 19:50:41.163, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.51 W
2024/04/29 19:50:41.163, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 25.14 W
2024/04/29 19:50:41.164, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.94 W
2024/04/29 19:50:41.165, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.72 W
2024/04/29 19:50:41.165, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 19.84 W
2024/04/29 19:50:41.166, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.83 W
2024/04/29 19:50:41.167, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.28 W
2024/04/29 19:50:42.168, NVIDIA RTX A6000, P8, 58, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.28 W
2024/04/29 19:50:42.168, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.57 W
2024/04/29 19:50:42.169, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 17.48 W
2024/04/29 19:50:42.170, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.05 W
2024/04/29 19:50:42.170, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.86 W
2024/04/29 19:50:42.171, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 25.64 W
2024/04/29 19:50:42.172, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.11 W
2024/04/29 19:50:42.172, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.33 W
2024/04/29 19:50:43.173, NVIDIA RTX A6000, P8, 58, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 26.76 W
2024/04/29 19:50:43.174, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 21.65 W
2024/04/29 19:50:43.175, NVIDIA RTX A6000, P8, 30, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 16.45 W
2024/04/29 19:50:43.175, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48663 MiB, 13 MiB, 0 %, 0 %, 27.09 W
2024/04/29 19:50:43.176, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 22.23 W
2024/04/29 19:50:43.177, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.73 W
